mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin
7	6	11	11	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	51							
7	6	23/2	23/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	52				12			
7	6	12	12	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	53							
8	7	25/2	25/2	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	54							
8	7	25/2	25/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	55		articStaccatoAbove					
8	7	13	13	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	56				13			
8	7	27/2	27/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	57				13			
8	7	14	14	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	58							
8	7	25/2	25/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	59				14			
8	7	13	13	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	60							
8	7	27/2	27/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	61				15			
8	7	14	14	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	62							
9	8	29/2	29/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	63				16			
9	8	31/2	31/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	64							
9	8	29/2	29/2	0.0	0	0	Spanner	2/4	2	1	0									0	0	
9	8	29/2	29/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	65				17	0	0	
9	8	15	15	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	66				17	0	0	
9	8	31/2	31/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	67		articStaccatoBelow			0	0	
9	8	16	16	0.0	3/8	3/8	Spanner	2/4	2	1	0											
10	9	17	17	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	68							
10	9	18	18	0.0	3/8	3/8	Spanner	2/4	1	1	0											0
10	9	18	18	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	69							0
10	9	33/2	33/2	0.75	0	0	Chord	2/4	2	1	3/16		1/8	3/2	70							
10	9	69/4	69/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	71							
10	9	35/2	35/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	72							
10	9	18	18	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	73							
10	9	33/2	33/2	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	74							
11	10	19	19	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	75							0
11	10	20	20	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	76							0
11	10	37/2	37/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	77							
11	10	19	19	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	78							
11	10	39/2	39/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	79							
11	10	20	20	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	80							
11	10	37/2	37/2	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	81							
12	11	41/2	41/2	0.0	0	0	Spanner	2/4	1	1	0											
12	11	43/2	43/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	82		articAccentAbove					
12	11	21	21	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	83							
12	11	43/2	43/2	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	84							
12	11	22	22	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	85							
12	11	41/2	41/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	86							
12	11	21	21	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	87							
12	11	43/2	43/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	88							
12	11	43/2	43/2	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	89							
13	12	47/2	47/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	90		articAccentAbove					
13	12	23	23	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	91							
13	12	47/2	47/2	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	92							
13	12	24	24	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	93							
13	12	45/2	45/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	94							
13	12	23	23	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	95							
13	12	47/2	47/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	96							
13	12	47/2	47/2	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	97							
14	13	25	25	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	98							
14	13	26	26	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	99							
14	13	49/2	49/2	0.75	0	0	Chord	2/4	2	1	3/16		1/8	3/2	100							
14	13	101/4	101/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	101							
14	13	51/2	51/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	102							
14	13	26	26	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	103							
14	13	49/2	49/2	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	104							
15	14	27	27	0.0	1/8	1/8	Spanner	2/4	1	1	0											1
15	14	27	27	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	105							1
15	14	28	28	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	106							1
15	14	53/2	53/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	107							
15	14	27	27	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	108							
15	14	55/2	55/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	109							
15	14	28	28	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	110							
15	14	53/2	53/2	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	111							
16	15	29	29	0.0	1/8	1/8	StaffText	2/4	1	1	0							"<font size=""10""/><font face=""Times New Roman""/><i>sosten.</i>"				1
16	15	29	29	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	112							1
16	15	30	30	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	113							1
16	15	57/2	57/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	114							
16	15	29	29	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	115							
16	15	59/2	59/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	116							
16	15	30	30	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	117							
17	16	61/2	61/2	0.0	0	0	Spanner	2/4	1	1	0											
17	16	31	31	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	118							
17	16	32	32	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	119							
17	16	31	31	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	120							
17	16	63/2	63/2	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	121							
17	16	32	32	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	122							
17	16	61/2	61/2	0.0	0	0	Dynamic	2/4	2	1	0					fz						
17	16	61/2	61/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	123				18			
17	16	63/2	63/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	124				18			
17	16	32	32	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	125							
18	17	33	33	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	126							
18	17	34	34	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	127							
18	17	65/2	65/2	0.75	0	0	Chord	2/4	2	1	3/16		1/8	3/2	128							
18	17	133/4	133/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	129							
18	17	67/2	67/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	130							
18	17	34	34	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	131							
18	17	65/2	65/2	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	132							
19	18	35	35	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	133							
19	18	36	36	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	134							
19	18	69/2	69/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	135							
19	18	35	35	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	136							
19	18	71/2	71/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	137							
19	18	36	36	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	138							
19	18	69/2	69/2	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	139							
20	19	75/2	75/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	140		articAccentAbove					
20	19	37	37	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	141							
20	19	75/2	75/2	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	142							
20	19	38	38	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	143							
20	19	73/2	73/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	144							
20	19	37	37	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	145							
20	19	75/2	75/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	146							
20	19	75/2	75/2	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	147							
21	20	79/2	79/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	148		articAccentAbove					
21	20	39	39	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	149							
21	20	79/2	79/2	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	150							
21	20	40	40	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	151							
21	20	77/2	77/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	152							
21	20	39	39	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	153							
21	20	79/2	79/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	154							
21	20	79/2	79/2	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	155							
22	21	41	41	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	156							
22	21	42	42	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	157							
22	21	81/2	81/2	0.75	0	0	Chord	2/4	2	1	3/16		1/8	3/2	158							
22	21	165/4	165/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	159							
22	21	83/2	83/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	160							
22	21	42	42	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	161							
22	21	81/2	81/2	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	162							
23	22	43	43	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	163							
23	22	44	44	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	164							
23	22	85/2	85/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	165							
23	22	43	43	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	166							
23	22	87/2	87/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	167							
23	22	44	44	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	168							
23	22	85/2	85/2	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	169							
24	23	45	45	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	170							
24	23	46	46	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	171							
24	23	89/2	89/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	172				19			
24	23	45	45	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	173							
24	23	91/2	91/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	174				20			
24	23	46	46	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	175							
24	23	89/2	89/2	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	176							
25	24	47	47	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	177							
25	24	48	48	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	178							
25	24	93/2	93/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	179				21			
25	24	95/2	95/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	180							
25	24	93/2	93/2	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	181							
25	24	95/2	95/2	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	182							
26	25	97/2	97/2	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	183							
26	25	197/4	197/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	184							
26	25	99/2	99/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	185							
26	25	50	50	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	186							
26	25	97/2	97/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	187				22			
26	25	49	49	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	188							
26	25	99/2	99/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	189				23			
26	25	50	50	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	190							
27	26	101/2	101/2	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	191							
27	26	101/2	101/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	192		articStaccatoAbove					
27	26	51	51	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	193							
27	26	103/2	103/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	194		articAccentAbove					
27	26	101/2	101/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	195				24			
27	26	51	51	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	196							
27	26	103/2	103/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	197				25			
27	26	52	52	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	198							
28	27	105/2	105/2	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	199							
28	27	105/2	105/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	200		articStaccatoAbove					
28	27	53	53	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	201							
28	27	107/2	107/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	202		articAccentAbove					
28	27	105/2	105/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	203				26			
28	27	53	53	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	204							
28	27	107/2	107/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	205				27			
28	27	54	54	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	206							
29	28	109/2	109/2	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	207							
29	28	109/2	109/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	208		articStaccatoAbove					
29	28	55	55	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	209							
29	28	111/2	111/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	210							
29	28	56	56	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	211							
29	28	109/2	109/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	212				28			
29	28	55	55	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	213							
29	28	111/2	111/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	214				29			
29	28	56	56	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	215							
30	29	113/2	113/2	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	216							
30	29	113/2	113/2	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	217				30			
30	29	229/4	229/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	218				30			
30	29	115/2	115/2	0.0	1/4	1/4	Chord	2/4	1	1	0	acciaccatura	1/8	1	219				30			
30	29	115/2	115/2	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	220				30			
30	29	231/4	231/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	221				30			
30	29	58	58	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	222				30			
30	29	233/4	233/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	223				30			
30	29	113/2	113/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	224				31			
30	29	57	57	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	225							
30	29	115/2	115/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	226				32			
30	29	58	58	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	227							
31	30	117/2	117/2	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	228							
31	30	117/2	117/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	229		articStaccatoAbove					
31	30	59	59	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	230							
31	30	119/2	119/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	231		articAccentAbove					
31	30	117/2	117/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	232				33			
31	30	59	59	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	233							
31	30	119/2	119/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	234				34			
31	30	60	60	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	235							
32	31	121/2	121/2	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	236							
32	31	121/2	121/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	237		articStaccatoAbove					
32	31	61	61	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	238				35			
32	31	123/2	123/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	239				35			
32	31	62	62	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	240							
32	31	121/2	121/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	241				36			
32	31	61	61	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	242							
32	31	123/2	123/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	243				37			
32	31	62	62	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	244							
33	32	125/2	125/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	245				38			
33	32	127/2	127/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	246							
33	32	125/2	125/2	0.0	0	0	Spanner	2/4	2	1	0									1	1	
33	32	125/2	125/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	247				39	1	1	
33	32	63	63	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	248				39	1	1	
33	32	127/2	127/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	249		articStaccatoBelow			1	1	
33	32	64	64	0.0	3/8	3/8	Spanner	2/4	2	1	0											
34	33	65	65	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	250							
34	33	66	66	0.0	3/8	3/8	Spanner	2/4	1	1	0											2
34	33	66	66	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	251							2
34	33	129/2	129/2	0.75	0	0	Chord	2/4	2	1	3/16		1/8	3/2	252							
34	33	261/4	261/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	253							
34	33	131/2	131/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	254							
34	33	66	66	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	255							
34	33	129/2	129/2	2.0	0	0	Chord	2/4	2	2	1/2		1/2	1	256							
35	34	67	67	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	257							2
35	34	68	68	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	258							2
35	34	133/2	133/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	259							
35	34	67	67	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	260							
35	34	135/2	135/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	261							
35	34	68	68	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	262							
35	34	133/2	133/2	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	263							
36	35	137/2	137/2	0.0	0	0	Spanner	2/4	1	1	0											
36	35	139/2	139/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	264		articAccentAbove					
36	35	69	69	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	265							
36	35	139/2	139/2	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	266							
36	35	70	70	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	267							
36	35	137/2	137/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	268							
36	35	69	69	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	269							
36	35	139/2	139/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	270							
36	35	139/2	139/2	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	271							
37	36	143/2	143/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	272		articAccentAbove					
37	36	71	71	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	273							
37	36	143/2	143/2	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	274							
