mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0								TempodiMarciaunpocovivace	125.0	1.0					
1	1	0	0	0.0	0	0	Dynamic	4/4	1	1	0					p										
1	1	1	1	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	0											
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	1											
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	2		articAccentStaccatoAbove									
1	1	0	0	0.0	0	0	Spanner	4/4	2	1	0												0	0		
1	1	0	0	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	3		articAccentStaccatoBelow						0	0		
1	1	3	3	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	4								0	0		
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	5								0	0		
2	2	5	5	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	6											
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	7											
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	8		articAccentStaccatoAbove									
2	2	15/2	15/2	0.16666666666666666	7/8	7/8	Chord	4/4	1	1	1/24		1/16	2/3	9											
2	2	23/3	23/3	0.16666666666666666	11/12	11/12	Chord	4/4	1	1	1/24		1/16	2/3	10											
2	2	47/6	47/6	0.16666666666666666	23/24	23/24	Chord	4/4	1	1	1/24		1/16	2/3	11											
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	12		articAccentStaccatoBelow						0	0		
2	2	7	7	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	13								0	0		
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	14								0	0		
3	3	8	8	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	15							0				
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	16											
3	3	9	9	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	17		articStaccatoAbove									
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	18		articStaccatoAbove									
3	3	10	10	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	19							1				
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	20											
3	3	11	11	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	21		articStaccatoAbove									
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	22		articStaccatoAbove									
3	3	8	8	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	23											
3	3	9	9	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	24											
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	25											
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	26											
3	3	11	11	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	27											
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	28											
3	3	8	8	0.0	0	0	Spanner	4/4	2	1	0															
3	3	8	8	0.0	0	0	Spanner	4/4	2	1	0												1	1		
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	29		articAccentStaccatoBelow						1	1		
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	30								1	1		
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	31								1	1		
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	32		articAccentStaccatoAbove						1	1		
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	33								1	1		
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	34								1	1		
4	4	12	12	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	35		articAccentStaccatoBelow									
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	36											
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	37											
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	38											
4	4	15	15	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	39		articStaccatoBelow									
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	40		articStaccatoBelow									
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	41								1	1		
4	4	13	13	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	42								1	1		
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	43								1	1		
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	44								1	1		
5	5	16	16	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	45							2				
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	46											
5	5	17	17	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	47		articStaccatoAbove									
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	48		articStaccatoAbove									
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	49							3				
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	50											
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	51		articStaccatoAbove									
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	52		articStaccatoAbove									
5	5	16	16	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	53											
5	5	17	17	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	54											
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	55											
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	56											
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	57											
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	58											
5	5	16	16	0.0	0	0	Spanner	4/4	2	1	0															
5	5	16	16	0.0	0	0	Spanner	4/4	2	1	0												2	2		
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	59								2	2		
5	5	17	17	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	60								2	2		
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	61								2	2		
5	5	18	18	0.0	1/2	1/2	Spanner	4/4	2	1	0															
5	5	18	18	0.0	1/2	1/2	Spanner	4/4	2	1	0												3	3		
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	62								3	3		
