mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	StaffText	6/4	1	1	0							Allegro appassionato										
1	1	0	0	0.0	0	0	Tempo	6/4	1	1	0								𝅗𝅥.=84	252.0	𝅗𝅥.	84.0	1.0					
1	1	1	1	0.0	1/4	1/4	Dynamic	6/4	2	1	0					pp												
1	1	1	1	1.0	1/4	1/4	Chord	6/4	2	1	1/4		1/4	1	0		articStaccatoAbove							0				
1	1	2	2	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	1		articStaccatoAbove							0				
1	1	3	3	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	2		articStaccatoAbove							0				
1	1	4	4	1.0	1	1	Chord	6/4	2	1	1/4		1/4	1	3		articStaccatoAbove							0				
1	1	5	5	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	4		articStaccatoAbove											
2	2	7	7	1.0	1/4	1/4	Chord	6/4	2	1	1/4		1/4	1	5		articStaccatoAbove							1				
2	2	8	8	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	6		articStaccatoAbove							1				
2	2	9	9	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	7		articStaccatoAbove							1				
2	2	10	10	1.0	1	1	Chord	6/4	2	1	1/4		1/4	1	8		articStaccatoAbove							1				
2	2	11	11	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	9		articStaccatoAbove											
3	3	12	12	0.0	0	0	StaffText	6/4	2	1	0							cantabile e molto tenuto la melodia										
3	3	13	13	1.0	1/4	1/4	Chord	6/4	2	1	1/4		1/4	1	10		articStaccatoAbove							2				
3	3	14	14	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	11		articStaccatoAbove							2				
3	3	15	15	1.0	3/4	3/4	Chord	6/4	2	1	1/4		1/4	1	12		articStaccatoAbove							2				
3	3	16	16	1.0	1	1	Chord	6/4	2	1	1/4		1/4	1	13		articStaccatoAbove							2				
3	3	17	17	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	14		articStaccatoAbove											
3	3	12	12	0.0	0	0	Spanner	6/4	3	1	0																0	0
3	3	12	12	3.0	0	0	Chord	6/4	3	1	3/4		1/2	3/2	15									3			0	0
3	3	15	15	0.0	3/4	3/4	Spanner	6/4	3	1	0													3				
3	3	15	15	0.0	3/4	3/4	Spanner	6/4	3	1	0													3		0		
3	3	15	15	1.5	3/4	3/4	Chord	6/4	3	1	3/8		1/4	3/2	16									3		0		
3	3	33/2	33/2	1.5	9/8	9/8	Chord	6/4	3	1	3/8		1/4	3/2	17									3		0		
4	4	19	19	1.0	1/4	1/4	Chord	6/4	2	1	1/4		1/4	1	18		articStaccatoAbove							4				
4	4	20	20	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	19		articStaccatoAbove											
4	4	22	22	1.0	1	1	Chord	6/4	2	1	1/4		1/4	1	20		articStaccatoAbove							5				
4	4	23	23	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	21		articStaccatoAbove											
4	4	18	18	0.0	0	0	Spanner	6/4	3	1	0													3				
4	4	18	18	0.0	0	0	Spanner	6/4	3	1	0													3	0			
4	4	18	18	0.0	0	0	Spanner	6/4	3	1	0													3	0		1	1
4	4	18	18	3.0	0	0	Chord	6/4	3	1	3/4		1/2	3/2	22									3	0		1	1
4	4	21	21	0.0	3/4	3/4	Spanner	6/4	3	1	0													3				
4	4	21	21	0.0	3/4	3/4	Spanner	6/4	3	1	0													3				
4	4	21	21	1.5	3/4	3/4	Chord	6/4	3	1	3/8		1/4	3/2	23									3				
4	4	45/2	45/2	1.5	9/8	9/8	Chord	6/4	3	1	3/8		1/4	3/2	24									3				
5	5	25	25	1.0	1/4	1/4	Chord	6/4	2	1	1/4		1/4	1	25		articStaccatoAbove							6				
5	5	26	26	1.0	1/2	1/2	Chord	6/4	2	1	1/4		1/4	1	26		articStaccatoAbove											
5	5	28	28	1.0	1	1	Chord	6/4	2	1	1/4		1/4	1	27		articStaccatoAbove							7				
5	5	29	29	1.0	5/4	5/4	Chord	6/4	2	1	1/4		1/4	1	28		articStaccatoAbove											
5	5	24	24	0.0	0	0	Spanner	6/4	3	1	0													3			2	2
