mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	diminuendo_line	decrescendo_hairpin	crescendo_hairpin	crescendo_line
3	3	27/4	27/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	22									1						
3	3	7	7	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	23									1						
3	3	29/4	29/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	24									1						
3	3	15/2	15/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	25									1						
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	26									1						
3	3	6	6	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	27															
3	3	15/2	15/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	28															
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	29															
3	3	6	6	0.0	0	0	Spanner	6/8	2	1	0														0	0				
3	3	6	6	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	30										0	0				
3	3	15/2	15/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	31										0	0				
3	3	6	6	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	32										0	0				
4	4	9	9	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	33									1						
4	4	21/2	21/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	34															
4	4	9	9	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	35															
4	4	21/2	21/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	36															
4	4	9	9	0.0	0	0	Spanner	6/8	2	1	0																			
4	4	9	9	0.0	0	0	Spanner	6/8	2	1	0														1	1				
4	4	9	9	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	37										1	1				
4	4	21/2	21/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	38										1	1				
4	4	9	9	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	39										1	1				
4	4	21/2	21/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	40										1	1				
5	5	12	12	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	41									2						
5	5	51/4	51/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	42									2						
5	5	13	13	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	43									2						
5	5	53/4	53/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	44									2						
5	5	27/2	27/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	45									2						
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	46									2						
5	5	12	12	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	47															
5	5	27/2	27/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	48															
5	5	12	12	0.0	0	0	Spanner	6/8	2	1	0																			
5	5	12	12	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	49															
5	5	27/2	27/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	50															
5	5	12	12	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	51															
6	6	15	15	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	52									2						
6	6	63/4	63/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	53									2						
6	6	16	16	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	54									2						
6	6	65/4	65/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	55									2						
6	6	33/2	33/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	56															
6	6	15	15	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	57															
6	6	33/2	33/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	58															
6	6	15	15	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	59															
6	6	33/2	33/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	60															
6	6	15	15	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	61															
7	7	18	18	0.0	0	0	Spanner	6/8	1	1	0																			0
7	7	18	18	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	62									3						0
7	7	75/4	75/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	63									3						0
7	7	19	19	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	64									3						0
7	7	77/4	77/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	65									3						0
7	7	39/2	39/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	66									3						0
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	67									3						0
7	7	18	18	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	68															0
7	7	39/2	39/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	69															0
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	70															0
7	7	18	18	0.0	0	0	Spanner	6/8	2	1	0														2	2				
7	7	18	18	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	71										2	2				
7	7	39/2	39/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	72										2	2				
7	7	18	18	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	73										2	2				
8	8	21	21	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	74									3						0
8	8	45/2	45/2	0.0	3/8	3/8	Spanner	6/8	1	1	0																		0	0
8	8	45/2	45/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	75									4					0	0
8	8	47/2	47/2	0.0	5/8	5/8	Spanner	6/8	1	1	0													4					0	
8	8	21	21	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	76														0	
8	8	45/2	45/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	77														0	
8	8	23	23	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	78														0	
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	79														0	
8	8	21	21	0.0	0	0	Spanner	6/8	2	1	0																			
8	8	21	21	0.0	0	0	Spanner	6/8	2	1	0														3	3				
8	8	21	21	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	80										3	3				
8	8	21	21	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	81										3	3				
9	9	24	24	0.0	0	0	Dynamic	6/8	1	1	0					f								4						
9	9	24	24	0.0	0	0	Spanner	6/8	1	1	0													4						
9	9	24	24	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	82									4						
9	9	25	25	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	83									4						
9	9	51/2	51/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	84									4						
9	9	26	26	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	85									4						
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	86									4						
9	9	24	24	3.0	0	0	Chord	6/8	1	2	3/4		1/2	3/2	87		articAccentBelow													
9	9	24	24	0.0	0	0	Spanner	6/8	2	1	0																			
9	9	24	24	0.0	0	0	Spanner	6/8	2	1	0														4	4				
9	9	24	24	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	88		articAccentAbove								4	4				
10	10	27	27	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	89									4						
10	10	28	28	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	90									4						
10	10	57/2	57/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	91															
10	10	27	27	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	92															
10	10	57/2	57/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	93															
10	10	27	27	0.0	0	0	Spanner	6/8	2	1	0																			
10	10	27	27	0.0	0	0	Spanner	6/8	2	1	0														5	5				
10	10	27	27	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	94										5	5				
10	10	57/2	57/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	95										5	5				
11	11	61/2	61/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	96									5						
11	11	31	31	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	97									5						
11	11	63/2	63/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	98									5						
11	11	32	32	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	99									5						
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	100									5						
11	11	30	30	3.0	0	0	Chord	6/8	1	2	3/4		1/2	3/2	101		articAccentBelow													
11	11	30	30	0.0	0	0	Spanner	6/8	2	1	0																			
11	11	30	30	0.0	0	0	Spanner	6/8	2	1	0														6	6				
11	11	30	30	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	102		articAccentAbove								6	6				
12	12	33	33	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	103									5						
12	12	67/2	67/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	104									5						
12	12	34	34	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	105									5						
12	12	69/2	69/2	0.0	3/8	3/8	Spanner	6/8	1	1	0													5					1	
12	12	69/2	69/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	106									5					1	
12	12	35	35	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	107									5					1	
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	108									5					1	
12	12	33	33	3.0	0	0	Chord	6/8	1	2	3/4		1/2	3/2	109														1	
12	12	33	33	0.0	0	0	Spanner	6/8	2	1	0																			
12	12	33	33	0.0	0	0	Spanner	6/8	2	1	0														7	7				
12	12	33	33	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	110										7	7				
13	13	36	36	0.0	0	0	Dynamic	6/8	1	1	0					fz								5						
13	13	36	36	0.0	0	0	Spanner	6/8	1	1	0													5						
13	13	36	36	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	111									5						
13	13	73/2	73/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	112									5						
13	13	37	37	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	113									5						
13	13	75/2	75/2	0.0	3/8	3/8	Spanner	6/8	1	1	0													5			0			
13	13	75/2	75/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	114									5			0			
13	13	38	38	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	115									5			0			
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	116									5			0			
13	13	36	36	0.0	0	0	Spanner	6/8	2	1	0																			
13	13	36	36	0.0	0	0	Spanner	6/8	2	1	0														8	8				
13	13	36	36	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	117		articAccentAbove								8	8				
14	14	39	39	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	118									5			0			
14	14	79/2	79/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	119									5			0			
14	14	40	40	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	120									5			0			
14	14	81/2	81/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	121												0			
14	14	41	41	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	122		articStaccatoAbove										0			
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	123		articStaccatoAbove										0			
14	14	39	39	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	124										8	8				
14	14	41	41	0.0	1/2	1/2	Spanner	6/8	2	1	0																			
14	14	41	41	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	125		articStaccatoBelow													
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	126		articStaccatoBelow													
15	15	42	42	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	127		articStaccatoAbove										0			
15	15	43	43	0.0	1/4	1/4	Spanner	6/8	1	1	0																			
15	15	42	42	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	128		articStaccatoBelow													
16	16	45	45	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	129		articAccentAbove													
16	16	45	45	0.0	0	0	Dynamic	6/8	2	1	0					p														
16	16	45	45	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	130															
16	16	45	45	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	131		articAccentBelow													
16	16	93/2	93/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	132															
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	133															
17	17	48	48	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	134									6						
17	17	195/4	195/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	135									6						
17	17	49	49	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	136									6						
17	17	197/4	197/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	137									6						
17	17	99/2	99/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	138		articAccentAbove													
17	17	48	48	0.0	0	0	Spanner	6/8	2	1	0														9	9				
17	17	48	48	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	139										9	9				
17	17	99/2	99/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	140										9	9				
17	17	48	48	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	141										9	9				
17	17	99/2	99/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	142		articAccentBelow								9	9				
18	18	51	51	0.0	0	0	Spanner	6/8	1	1	0																	0		
18	18	51	51	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	143									7				0		
18	18	207/4	207/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	144									7				0		
18	18	52	52	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	145									7				0		
18	18	209/4	209/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	146									7				0		
18	18	105/2	105/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	147		articAccentAbove											0		
18	18	51	51	0.0	0	0	Spanner	6/8	2	1	0																			
18	18	51	51	0.0	0	0	Spanner	6/8	2	1	0														10	10				
18	18	51	51	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	148										10	10				
18	18	105/2	105/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	149										10	10				
18	18	51	51	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	150										10	10				
18	18	105/2	105/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	151		articAccentBelow								10	10				
19	19	54	54	0.0	0	0	Dynamic	6/8	1	1	0					pp														
19	19	54	54	0.0	0	0	Spanner	6/8	1	1	0																			
19	19	54	54	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	152		articStaccatoAbove													
19	19	111/2	111/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	153		articStaccatoAbove													
19	19	54	54	0.0	0	0	Spanner	6/8	2	1	0																			
19	19	54	54	0.0	0	0	Spanner	6/8	2	1	0														11	11				
19	19	54	54	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	154										11	11				
19	19	54	54	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	155		articStaccatoBelow								11	11				
19	19	111/2	111/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	156		articStaccatoBelow								11	11				
20	20	57	57	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	157															
20	20	117/2	117/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	158															
20	20	57	57	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	159										11	11				
20	20	117/2	117/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	160										11	11				
20	20	59	59	0.0	1/2	1/2	Spanner	6/8	2	1	0																			
21	21	60	60	0.0	0	0	Dynamic	6/8	1	1	0					p														
21	21	60	60	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	161									8						
21	21	243/4	243/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	162									8						
21	21	61	61	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	163									8						
21	21	245/4	245/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	164									8						
21	21	123/2	123/2	0.0	3/8	3/8	Spanner	6/8	1	1	0													8					2	
21	21	123/2	123/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	165									8					2	
21	21	60	60	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	166														2	
21	21	123/2	123/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	167														2	
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	168														2	
21	21	60	60	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	169															
21	21	123/2	123/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	170															
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	171															
21	21	60	60	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	172															
22	22	63	63	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	173									8					2	
22	22	255/4	255/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	174									8					2	
22	22	64	64	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	175									8					2	
22	22	257/4	257/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	176									8					2	
22	22	129/2	129/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	177									8					2	
22	22	63	63	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	178														2	
22	22	129/2	129/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	179														2	
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	180														2	
22	22	63	63	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	181															
22	22	129/2	129/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	182															
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	183															
22	22	63	63	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	184															
23	23	66	66	0.0	0	0	Dynamic	6/8	1	1	0					mp														
23	23	66	66	0.0	0	0	Spanner	6/8	1	1	0																			
23	23	66	66	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	185															
23	23	267/4	267/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	186															
23	23	269/4	269/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	187															
23	23	135/2	135/2	0.0	3/8	3/8	Spanner	6/8	1	1	0																	1		
23	23	271/4	271/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	188													1		
23	23	273/4	273/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	189													1		
23	23	275/4	275/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	190													1		
23	23	66	66	0.0	0	0	Spanner	6/8	2	1	0														12	12				
23	23	66	66	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	191										12	12				
23	23	133/2	133/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	192										12	12				
23	23	67	67	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	193										12	12				
23	23	135/2	135/2	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	194										12	12				
23	23	68	68	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	195										12	12				
23	23	137/2	137/2	0.25	5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	196										12	12				
24	24	277/4	277/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	197													1		
24	24	279/4	279/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	198													1		
24	24	281/4	281/4	0.0	5/16	5/16	Spanner	6/8	1	1	0																			
24	24	281/4	281/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	199															
24	24	141/2	141/2	0.0	3/8	3/8	Dynamic	6/8	1	1	0					pp														
24	24	141/2	141/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	200		articStaccatoAbove													
24	24	69	69	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	201										12	12				
24	24	139/2	139/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	202										12	12				
24	24	70	70	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	203										12	12				
24	24	143/2	143/2	0.0	5/8	5/8	Spanner	6/8	2	1	0																			
25	25	72	72	0.0	0	0	Spanner	6/8	1	1	0																			1
25	25	72	72	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	204									9						1
25	25	291/4	291/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	205									9						1
25	25	73	73	0.0	1/4	1/4	Spanner	6/8	1	1	0													9					3	1
25	25	73	73	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	206									9					3	1
25	25	293/4	293/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	207									9					3	1
25	25	147/2	147/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	208									9					3	1
25	25	72	72	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	209														3	1
25	25	147/2	147/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	210														3	1
25	25	149/2	149/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	211														3	1
25	25	72	72	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	212															
25	25	147/2	147/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	213															
25	25	149/2	149/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	214															
25	25	72	72	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	215															
26	26	75	75	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	216									9					3	1
26	26	303/4	303/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	217									9					3	1
26	26	76	76	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	218									9					3	1
26	26	305/4	305/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	219									9					3	1
26	26	153/2	153/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	220									9					3	1
26	26	155/2	155/2	0.0	5/8	5/8	Spanner	6/8	1	1	0													9						1
26	26	75	75	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	221															1
26	26	153/2	153/2	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	222															1
26	26	155/2	155/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	223															1
26	26	75	75	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	224															
26	26	153/2	153/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	225															
26	26	155/2	155/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	226															
26	26	75	75	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	227															
27	27	78	78	0.0	0	0	Dynamic	6/8	1	1	0					mp														
27	27	78	78	0.0	0	0	Spanner	6/8	1	1	0																			
27	27	78	78	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	228															
27	27	315/4	315/4	0.0	3/16	3/16	Spanner	6/8	1	1	0																	2		
27	27	315/4	315/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	229													2		
27	27	317/4	317/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	230													2		
27	27	319/4	319/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	231													2		
27	27	321/4	321/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	232													2		
