mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0						"<font size=""12""/><font face=""Times New Roman""/><b>Allegro con moto</b>"						
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=160	160.0	𝅘𝅥	160.0	0.0	
1	1	0	0	0.0	0	0	Dynamic	3/4	2	1	0				p								
1	1	0	0	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	0									
1	1	0	0	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	1									0
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	2									
2	2	3	3	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	3									
2	2	3	3	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	4									1
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	5									
3	3	6	6	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	6									2
3	3	27/4	27/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	7									2
3	3	7	7	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	8									2
3	3	31/4	31/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	9									2
3	3	8	8	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	10									2
3	3	35/4	35/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	11									2
3	3	6	6	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	12									
3	3	6	6	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	13									3
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	14									
4	4	9	9	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	15		articStaccatoBelow							
4	4	10	10	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	16		articTenutoBelow							
4	4	9	9	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	17									
4	4	9	9	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	18									4
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	19									
5	5	12	12	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	20									5
5	5	51/4	51/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	21									5
5	5	13	13	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	22									5
5	5	55/4	55/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	23									5
5	5	14	14	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	24									5
5	5	59/4	59/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	25									5
5	5	12	12	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	26									
5	5	12	12	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	27									6
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	28									
6	6	15	15	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	29		articStaccatoBelow							
6	6	16	16	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	30		articTenutoBelow							
6	6	15	15	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	31									
6	6	15	15	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	32									7
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	33									
7	7	18	18	0.0	0	0	StaffText	3/4	1	1	0						"<font size=""9""/><font face=""Times New Roman""/><i>cresc.</i>"						
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	34		articStaccatoBelow							
7	7	19	19	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	35		articTenutoBelow							
7	7	18	18	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	36									
7	7	18	18	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	37									8
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	38									
8	8	21	21	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	39		articStaccatoBelow							
8	8	22	22	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	40		articTenutoBelow							
8	8	21	21	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	41									
8	8	21	21	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	42									9
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	43									
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	44		articStaccatoBelow							
9	9	25	25	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	45		articTenutoBelow							
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	46									
9	9	24	24	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	47									
9	9	24	24	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	48									10
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	49									
10	10	27	27	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	50		articStaccatoBelow							
10	10	28	28	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	51		articTenutoBelow							
10	10	27	27	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	52									
10	10	27	27	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	53									11
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	54									
11	11	30	30	0.0	0	0	Dynamic	3/4	1	1	0				pp								
11	11	30	30	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	55									12
