mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0						Andantino grazioso					
1	1	0	0	0.0	0	0	Dynamic	4/4	1	1	0				p							
1	1	0	0	4.0	0	0	Chord	4/4	1	1	1	1	1	0		articAccentBelow						
2	2	4	4	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	1				0				
2	2	19/4	19/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	2				0				
2	2	5	5	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	3								
2	2	4	4	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	4								
2	2	4	4	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	5								
3	3	8	8	0.75	0	0	Chord	4/4	1	1	3/16	1/8	3/2	6				1				
3	3	35/4	35/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	7				1				
3	3	9	9	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	8								
3	3	8	8	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	9								
3	3	8	8	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	10								
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	11				2				
4	4	12	12	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	12				3				
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	13		articStaccatoBelow						
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	14				4				
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	15		articStaccatoBelow						
5	5	16	16	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	16				2				
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	17				2				
5	5	17	17	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	18				2				
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	19				2				
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	20				2				
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	21				2				
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	22				2				
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	23				2				
5	5	16	16	4.0	0	0	Chord	4/4	1	2	1	1	1	24								
