mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Ottava:8va	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
2	2	17/3	17/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	16														
2	2	3	3	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	17		articAccentBelow							2					
2	2	4	4	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	18									2					
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	19									2					
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	20		articStaccatoBelow												
3	3	7	7	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	21									3					
3	3	22/3	22/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	22									3					
3	3	23/3	23/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	23									3					
3	3	8	8	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	24									3					
3	3	25/3	25/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	25									3					
3	3	26/3	26/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	26														
3	3	6	6	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	27		articAccentBelow							4					
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	28									4					
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	29									4					
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	30		articStaccatoBelow												
4	4	10	10	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	31									5					
4	4	31/3	31/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	32									5					
4	4	32/3	32/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	33									5					
4	4	11	11	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	34									5					
4	4	34/3	34/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	35									5					
4	4	35/3	35/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	36														
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	37		articAccentAbove							6					
4	4	10	10	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	38									6					
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	39									6					
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	40		articStaccatoAbove												
5	5	13	13	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	41									7					
5	5	40/3	40/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	42									7					
5	5	41/3	41/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	43									7					
5	5	14	14	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	44									7					
5	5	43/3	43/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	45									7					
5	5	44/3	44/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	46														
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	47														
5	5	13	13	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	48														
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	49														
5	5	14	14	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	50														
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	51														
6	6	16	16	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	52									8					
6	6	49/3	49/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	53									8					
6	6	50/3	50/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	54									8					
6	6	17	17	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	55									8					
6	6	52/3	52/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	56									8					
6	6	53/3	53/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	57														
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	58		articAccentAbove							9					
6	6	16	16	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	59									9					
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	60									9					
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	61		articStaccatoAbove												
7	7	19	19	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	62									10					
7	7	58/3	58/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	63									10					
7	7	59/3	59/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	64									10					
7	7	20	20	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	65									10					
7	7	61/3	61/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	66									10					
7	7	62/3	62/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	67														
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	68		articAccentAbove							11					
7	7	19	19	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	69									11					
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	70									11					
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	71		articStaccatoBelow												
8	8	22	22	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	72														
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	73		articAccentAbove							12					
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	74									12					
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	75		articStaccatoBelow												
9	9	25	25	0.0	1/4	1/4	Dynamic	3/4	1	1	0					pp													
9	9	25	25	0.0	1/4	1/4	StaffText	3/4	1	1	0							sempre											
9	9	25	25	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	76									13					
9	9	76/3	76/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	77									13					
9	9	77/3	77/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	78									13					
9	9	26	26	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	79									13					
9	9	79/3	79/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	80									13					
9	9	80/3	80/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	81														
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	82														
9	9	25	25	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	83														
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	84														
9	9	26	26	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	85														
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	86														
10	10	28	28	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	87									14					
10	10	85/3	85/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	88									14					
10	10	86/3	86/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	89									14					
10	10	29	29	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	90									14					
10	10	88/3	88/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	91									14					
10	10	89/3	89/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	92														
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	93		articAccentAbove							15					
10	10	28	28	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	94									15					
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	95									15					
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	96		articStaccatoAbove												
11	11	31	31	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	97									16					
11	11	94/3	94/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	98									16					
11	11	95/3	95/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	99									16					
11	11	32	32	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	100									16					
11	11	97/3	97/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	101									16					
11	11	98/3	98/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	102														
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	103		articAccentAbove							17					
11	11	31	31	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	104									17					
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	105									17					
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	106		articStaccatoBelow												
12	12	34	34	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	107									18					
12	12	103/3	103/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	108									18					
12	12	104/3	104/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	109									18					
12	12	35	35	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	110									18					
12	12	106/3	106/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	111									18					
12	12	107/3	107/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	112														
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	113		articAccentBelow							19					
12	12	34	34	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	114									19					
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	115									19					
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	116		articStaccatoBelow												
13	13	37	37	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	117									20					
13	13	112/3	112/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	118									20					
13	13	113/3	113/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	119									20					
13	13	38	38	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	120									20					
13	13	115/3	115/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	121									20					
13	13	116/3	116/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	122														
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	123														
13	13	37	37	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	124														
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	125														
13	13	38	38	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	126														
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	127														
14	14	40	40	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	128									21					
14	14	121/3	121/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	129									21					
14	14	122/3	122/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	130									21					
14	14	41	41	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	131									21					
14	14	124/3	124/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	132									21					
14	14	125/3	125/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	133														
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	134		articAccentBelow							22					
14	14	40	40	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	135									22					
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	136									22					
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	137		articStaccatoBelow												
15	15	43	43	0.3333333333333333	1/4	1/4	Chord	3/4	1	1	1/12		1/8	2/3	138									23					
15	15	130/3	130/3	0.3333333333333333	1/3	1/3	Chord	3/4	1	1	1/12		1/8	2/3	139									23					
15	15	131/3	131/3	0.3333333333333333	5/12	5/12	Chord	3/4	1	1	1/12		1/8	2/3	140									23					
15	15	44	44	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	141									23					
15	15	133/3	133/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	142									23					
15	15	134/3	134/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	143														
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	144		articAccentBelow							24					
15	15	43	43	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	145									24					
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	146									24					
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	147		articStaccatoBelow												
16	16	46	46	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	148														
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	149		articAccentBelow							25					
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	150									25					
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	151		articStaccatoBelow												
17	17	48	48	0.0	0	0	Dynamic	3/4	2	1	0					f													
17	17	48	48	0.0	0	0	StaffText	3/4	2	1	0							feroce											
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	152		articAccentBelow												
17	17	49	49	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	153														
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	154														
17	17	50	50	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	155														
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	156														
18	18	51	51	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	157		articAccentBelow												
18	18	52	52	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	158														
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	159														
18	18	53	53	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	160														
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	161														
19	19	54	54	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	162		articAccentBelow												
19	19	56	56	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	163														
19	19	54	54	0.0	0	0	Spanner	3/4	2	1	0																	0	0
19	19	54	54	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	164		articAccentAbove											0	0
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	165													0	0
20	20	57	57	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	166		articAccentBelow												
20	20	57	57	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	167		articAccentAbove											0	0
21	21	60	60	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	168		articAccentBelow												
21	21	60	60	0.0	0	0	Spanner	3/4	2	1	0																		
21	21	60	60	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	169		articAccentBelow												
21	21	61	61	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	170														
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	171														
21	21	62	62	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	172														
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	173														
22	22	63	63	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	174														
22	22	63	63	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	175		articAccentAbove							26					
22	22	64	64	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	176									26					
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	177									26					
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	178		articStaccatoBelow												
23	23	66	66	0.0	0	0	Dynamic	3/4	1	1	0					ff													
23	23	66	66	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	179		articAccentBelow												
23	23	67	67	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	180														
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	181														
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	182														
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	183														
23	23	66	66	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	184														
24	24	69	69	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	185		articAccentAbove							27					
24	24	70	70	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	186									27					
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	187									27					
24	24	71	71	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	188		articStaccatoBelow												
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	189														
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	190		articAccentBelow												
25	25	73	73	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	191														
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	192														
25	25	74	74	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	193														
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	194														
26	26	75	75	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	195		articAccentAbove												
26	26	76	76	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	196														
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	197														
26	26	77	77	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	198														
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	199														
27	27	78	78	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	200		articAccentBelow												
27	27	80	80	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	201														
27	27	78	78	0.0	0	0	Spanner	3/4	2	1	0																	1	1
27	27	78	78	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	202		articAccentAbove											1	1
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	203													1	1
28	28	81	81	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	204		articAccentAbove												
28	28	81	81	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	205		articAccentAbove											1	1
29	29	84	84	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	206		articAccentBelow												
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0																		
29	29	84	84	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	207		articAccentAbove												
29	29	85	85	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	208														
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	209														
29	29	86	86	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	210														
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	211														
30	30	87	87	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	212														
30	30	87	87	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	213		articAccentAbove							28					
30	30	88	88	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	214									28					
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	215									28					
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	216		articStaccatoAbove												
31	31	90	90	0.0	0	0	Dynamic	3/4	1	1	0					ff													
31	31	90	90	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	217		articAccentBelow												
31	31	91	91	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	218														
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	219														
31	31	92	92	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	220														
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	221														
31	31	90	90	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	222														
32	32	93	93	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	223		articAccentAbove							29					
32	32	94	94	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	224									29					
32	32	189/2	189/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	225									29					
32	32	95	95	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	226		articStaccatoBelow												
32	32	93	93	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	227														
34	34	99	99	0.0	0	0	Dynamic	3/4	1	1	0					p													
34	34	99	99	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	228		articAccentAbove							30					
34	34	100	100	0.0	1/4	1/4	StaffText	3/4	1	1	0							"<font size=""8""/><font face=""Times New Roman""/><i>dolce</i>"						30					
34	34	100	100	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	229									30					
34	34	201/2	201/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	230									30					
34	34	101	101	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	231		articStaccatoAbove												
34	34	99	99	0.0	0	0	Spanner	3/4	2	1	0																	2	2
34	34	99	99	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	232													2	2
35	35	102	102	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	233		articAccentAbove							31				2	2
35	35	103	103	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	234									31				2	2
35	35	207/2	207/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	235									31				2	2
35	35	104	104	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	236		articStaccatoBelow											2	2
36	36	105	105	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	237		articAccentAbove							32					
36	36	106	106	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	238									32					
36	36	213/2	213/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	239									32					
36	36	107	107	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	240		articStaccatoAbove												
37	37	108	108	0.0	0	0	Spanner	3/4	2	1	0																		
38	38	111	111	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	241		articAccentAbove							33					
38	38	112	112	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	242									33					
38	38	225/2	225/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	243									33					
38	38	113	113	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	244		articStaccatoBelow												
38	38	111	111	0.0	0	0	StaffText	3/4	2	1	0							"<font size=""9""/><font face=""Times New Roman""/><i>dim.</i>"											
38	38	111	111	0.0	0	0	Spanner	3/4	2	1	0																	3	3
38	38	111	111	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	245													3	3
