mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	6/8	1	1	0						"<font size=""12""/><font face=""Times New Roman""/><b>Allegretto con grazia</b>"			
1	1	0	0	0.0	0	0	Dynamic	6/8	1	1	0				p					
1	1	0	0	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	0		articAccentAbove				
1	1	3/2	3/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	1						
1	1	2	2	0.25	1/2	1/2	Chord	6/8	1	1	1/16	1/16	1	2				0		
1	1	9/4	9/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16	1/16	1	3				0		
1	1	5/2	5/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16	1/16	1	4				0		
1	1	11/4	11/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16	1/16	1	5						
1	1	1/2	1/2	1.0	1/8	1/8	Chord	6/8	1	2	1/4	1/4	1	6						
1	1	3/2	3/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8	1/8	1	7						
1	1	1/2	1/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	8				1		
1	1	1	1	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	9				1		
1	1	3/2	3/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	10		articStaccatoBelow				
2	2	3	3	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	11		articAccentAbove				
2	2	9/2	9/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	12						
2	2	5	5	0.25	1/2	1/2	Chord	6/8	1	1	1/16	1/16	1	13				2		
2	2	21/4	21/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16	1/16	1	14				2		
2	2	11/2	11/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16	1/16	1	15				2		
2	2	23/4	23/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16	1/16	1	16						
2	2	7/2	7/2	1.0	1/8	1/8	Chord	6/8	1	2	1/4	1/4	1	17						
2	2	9/2	9/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8	1/8	1	18						
2	2	7/2	7/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	19				3		
2	2	4	4	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	20				3		
2	2	9/2	9/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	21		articStaccatoBelow				
3	3	6	6	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	22		articAccentAbove				
3	3	13/2	13/2	0.0	1/8	1/8	Spanner	6/8	1	1	0									0
3	3	15/2	15/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	23		articAccentAbove				0
3	3	8	8	0.0	1/2	1/2	Spanner	6/8	1	1	0									
3	3	8	8	0.0	1/2	1/2	Spanner	6/8	1	1	0								0	
3	3	13/2	13/2	1.0	1/8	1/8	Chord	6/8	1	2	1/4	1/4	1	24					0	
3	3	8	8	1.0	1/2	1/2	Chord	6/8	1	2	1/4	1/4	1	25					0	
3	3	13/2	13/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	26				4		
3	3	7	7	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	27						
3	3	8	8	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	28				5		
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	29						
4	4	9	9	0.0	0	0	Spanner	6/8	1	1	0									
4	4	9	9	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	30		articAccentAbove				
4	4	21/2	21/2	0.25	3/8	3/8	Chord	6/8	1	1	1/16	1/16	1	31				6		
4	4	43/4	43/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16	1/16	1	32				6		
4	4	11	11	0.25	1/2	1/2	Chord	6/8	1	1	1/16	1/16	1	33				6		
4	4	45/4	45/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16	1/16	1	34				6		
4	4	23/2	23/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16	1/16	1	35				6		
4	4	47/4	47/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16	1/16	1	36						
4	4	19/2	19/2	1.0	1/8	1/8	Chord	6/8	1	2	1/4	1/4	1	37						
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	38				7		
4	4	10	10	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	39						
5	5	12	12	0.0	0	0	Dynamic	6/8	1	1	0				p					
5	5	12	12	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	40		articAccentAbove				
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	41						
5	5	14	14	0.25	1/2	1/2	Chord	6/8	1	1	1/16	1/16	1	42				8		
5	5	57/4	57/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16	1/16	1	43				8		
5	5	29/2	29/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16	1/16	1	44				8		
5	5	59/4	59/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16	1/16	1	45						
5	5	25/2	25/2	1.0	1/8	1/8	Chord	6/8	1	2	1/4	1/4	1	46						
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8	1/8	1	47						
5	5	25/2	25/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	48				9		
5	5	13	13	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	49				9		
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	50		articStaccatoBelow				
6	6	15	15	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	51		articAccentAbove				
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	52						
6	6	17	17	0.25	1/2	1/2	Chord	6/8	1	1	1/16	1/16	1	53				10		
6	6	69/4	69/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16	1/16	1	54				10		
6	6	35/2	35/2	0.25	5/8	5/8	Chord	6/8	1	1	1/16	1/16	1	55				10		
6	6	71/4	71/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16	1/16	1	56						
6	6	31/2	31/2	1.0	1/8	1/8	Chord	6/8	1	2	1/4	1/4	1	57						
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8	1/8	1	58						
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	59				11		
6	6	16	16	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	60				11		
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	61		articStaccatoBelow				
7	7	18	18	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	62		articAccentAbove				
7	7	37/2	37/2	0.0	1/8	1/8	Spanner	6/8	1	1	0									1
7	7	39/2	39/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	63		articAccentAbove				1
7	7	20	20	0.0	1/2	1/2	Spanner	6/8	1	1	0									
7	7	20	20	0.0	1/2	1/2	Spanner	6/8	1	1	0								1	
7	7	37/2	37/2	1.0	1/8	1/8	Chord	6/8	1	2	1/4	1/4	1	64					1	
7	7	20	20	1.0	1/2	1/2	Chord	6/8	1	2	1/4	1/4	1	65					1	
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	66				12		
7	7	19	19	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	67						
7	7	20	20	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	68				13		
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	69						
8	8	21	21	0.0	0	0	Spanner	6/8	1	1	0									
8	8	21	21	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	70		articAccentAbove				
8	8	43/2	43/2	0.0	1/8	1/8	StaffText	6/8	1	1	0						"<font size=""10""/><font face=""Times New Roman""/><i>cresc.</i>"			
