mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	23		articStaccatoBelow								0	0		
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	24		articStaccatoAbove								0	0		
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	25		articStaccatoAbove								0	0		
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	26		articStaccatoAbove											
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	27		articStaccatoBelow								0	0		
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	28		articStaccatoAbove								0	0		
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	29		articStaccatoAbove								0	0		
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	30		articAccentAbove											
6	6	15	15	0.0	0	0	Dynamic	3/4	2	1	0				f												
6	6	15	15	0.0	0	0	Spanner	3/4	2	1	0																
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	31		articAccentAbove											
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	32													
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	33													
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	34													
7	7	19	19	1.75	1/4	1/4	Chord	3/4	1	1	7/16	1/4	7/4	35													
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	36													
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	37													
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	38													
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	39													
8	8	21	21	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	40		articAccentBelow											
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	41		articAccentBelow											
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	42													
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	43													
9	9	24	24	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	44													
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	45													
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	46													
10	10	28	28	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	47									7				
10	10	113/4	113/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	48													
10	10	29	29	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	49									8				
10	10	117/4	117/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	50													
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	51		articAccentBelow											
10	10	28	28	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	52									9				
10	10	113/4	113/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	53													
10	10	29	29	0.25	1/2	1/2	Chord	3/4	2	1	1/16	1/16	1	54									10				
10	10	117/4	117/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	55													
11	11	30	30	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	56		articAccentAbove											
11	11	31	31	0.25	1/4	1/4	Chord	3/4	1	2	1/16	1/16	1	57									11				
11	11	125/4	125/4	0.25	5/16	5/16	Chord	3/4	1	2	1/16	1/16	1	58													
11	11	32	32	0.25	1/2	1/2	Chord	3/4	1	2	1/16	1/16	1	59									12				
11	11	129/4	129/4	0.25	9/16	9/16	Chord	3/4	1	2	1/16	1/16	1	60													
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	61		articAccentBelow											
11	11	31	31	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	62									13				
11	11	125/4	125/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	63													
11	11	32	32	0.25	1/2	1/2	Chord	3/4	2	1	1/16	1/16	1	64									14				
11	11	129/4	129/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	65													
12	12	34	34	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	66									15				
12	12	137/4	137/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	67													
12	12	35	35	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	68									16				
12	12	141/4	141/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	69													
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	70		articAccentBelow											
12	12	34	34	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	71									17				
12	12	137/4	137/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	72													
12	12	35	35	0.25	1/2	1/2	Chord	3/4	2	1	1/16	1/16	1	73									18				
12	12	141/4	141/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	74													
13	13	36	36	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	75		articAccentAbove											
13	13	37	37	0.25	1/4	1/4	Chord	3/4	1	2	1/16	1/16	1	76									19				
13	13	149/4	149/4	0.25	5/16	5/16	Chord	3/4	1	2	1/16	1/16	1	77													
13	13	38	38	0.25	1/2	1/2	Chord	3/4	1	2	1/16	1/16	1	78									20				
13	13	153/4	153/4	0.25	9/16	9/16	Chord	3/4	1	2	1/16	1/16	1	79													
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	80		articAccentStaccatoBelow											
13	13	37	37	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	81									21				
13	13	149/4	149/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	82													
13	13	38	38	0.25	1/2	1/2	Chord	3/4	2	1	1/16	1/16	1	83									22				
13	13	153/4	153/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	84													
14	14	40	40	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	85									23				
14	14	161/4	161/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	86													
14	14	41	41	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	87									24				
14	14	165/4	165/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	88													
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	89		articAccentStaccatoBelow											
14	14	40	40	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	90									25				
14	14	161/4	161/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	91													
14	14	41	41	0.25	1/2	1/2	Chord	3/4	2	1	1/16	1/16	1	92									26				
14	14	165/4	165/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	93													
15	15	42	42	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	94		articStaccatoBelow											
15	15	43	43	1.75	1/4	1/4	Chord	3/4	1	1	7/16	1/4	7/4	95		articAccentBelow											
15	15	179/4	179/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	96													
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	97		articStaccatoBelow											
15	15	43	43	1.75	1/4	1/4	Chord	3/4	2	1	7/16	1/4	7/4	98		articAccentBelow											
15	15	179/4	179/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	99													
16	16	45	45	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	100		articAccentBelow											
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	101		articAccentBelow											
16	16	45	45	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	102		articAccentBelow											
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	103		articAccentBelow											
17	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	104													
17	17	97/2	97/2	0.0	1/8	1/8	Dynamic	3/4	1	1	0				p												
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	105									27				
17	17	49	49	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	106									27				
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	107									27				
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	108									27				
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	109													
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	110													
18	18	52	52	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	111									28				
18	18	209/4	209/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	112													
18	18	53	53	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	113									29				
18	18	213/4	213/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	114													
18	18	51	51	0.0	0	0	Spanner	3/4	2	1	0													1	1		
18	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	115		articStaccatoBelow								1	1		
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	116		articStaccatoAbove								1	1		
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	117		articStaccatoAbove								1	1		
19	19	55	55	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	118									30				
19	19	221/4	221/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	119													
19	19	56	56	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	120									31				
19	19	225/4	225/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	121													
19	19	54	54	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	122		articStaccatoBelow								1	1		
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	123		articStaccatoAbove								1	1		
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	124		articStaccatoAbove								1	1		
20	20	58	58	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	125									32				
20	20	233/4	233/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	126													
20	20	59	59	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	127									33				
20	20	237/4	237/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	128													
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	129		articStaccatoBelow								1	1		
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	130		articStaccatoAbove								1	1		
