mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""12""/><font face=""Times New Roman""/><b>Allegro marcato</b>"						
1	1	0	0	0.0	0	0	Dynamic	2/4	1	1	0					mf								
1	1	0	0	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	0									
1	1	0	0	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	1		articAccentStaccatoAbove							
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	2									
1	1	1	1	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	3		articAccentStaccatoAbove							
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	4									
1	1	0	0	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	5									
1	1	1/2	1/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	6				0					
1	1	3/4	3/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	7				0					
1	1	1	1	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	8									
1	1	3/2	3/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	9				1					
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	10				1					
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	11				2					
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	12				2					
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	13									
1	1	1/2	1/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	14									
2	2	2	2	0.0	0	0	Spanner	2/4	1	1	0										0			
2	2	2	2	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	15						0			
2	2	2	2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	16		articAccentStaccatoAbove				0			
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	17						0			
2	2	3	3	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	18		articAccentStaccatoAbove				0			
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	19						0			
2	2	2	2	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	20						0			
2	2	5/2	5/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	21				3		0			
2	2	11/4	11/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	22				3		0			
2	2	3	3	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	23						0			
2	2	7/2	7/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	24				4		0			
2	2	15/4	15/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	25				4		0			
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	26				5					
2	2	3	3	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	27				5					
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	28									
2	2	5/2	5/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	29									
3	3	4	4	0.0	0	0	Spanner	2/4	1	1	0													
3	3	4	4	0.0	0	0	Spanner	2/4	1	1	0											0		
3	3	4	4	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	30		articAccentAbove		6			0		
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	31		articStaccatoAbove					0		
3	3	5	5	0.0	1/4	1/4	Spanner	2/4	1	1	0													
3	3	5	5	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	32		articAccentAbove		7					
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	33		articStaccatoAbove							
3	3	4	4	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	34									
3	3	17/4	17/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	35									
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8		1/8	1	36									
3	3	5	5	0.25	1/4	1/4	Chord	2/4	1	2	1/16		1/16	1	37									
3	3	21/4	21/4	0.25	5/16	5/16	Chord	2/4	1	2	1/16		1/16	1	38									
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8		1/8	1	39									
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	40		articAccentAbove		8					
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	41		articStaccatoAbove							
3	3	11/2	11/2	0.0	3/8	3/8	Spanner	2/4	2	1	0									0				
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	42		articAccentAbove		9	0				
3	3	9/2	9/2	0.25	1/8	1/8	Chord	2/4	2	2	1/16		1/16	1	43					0				
3	3	19/4	19/4	0.25	3/16	3/16	Chord	2/4	2	2	1/16		1/16	1	44					0				
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	45					0				
3	3	11/2	11/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	46					0				
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	47					0				
4	4	6	6	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	48		articAccentAbove		10					
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	49									
4	4	7	7	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	50		articTenutoBelow							
4	4	6	6	0.25	0	0	Chord	2/4	1	2	1/16		1/16	1	51				11					
4	4	25/4	25/4	0.25	1/16	1/16	Chord	2/4	1	2	1/16		1/16	1	52									
4	4	13/2	13/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	53		articStaccatoBelow							
4	4	27/4	27/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	54		articStaccatoBelow							
4	4	6	6	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	55		articStaccatoAbove			0				
4	4	13/2	13/2	0.0	1/8	1/8	Spanner	2/4	2	1	0													
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	56		articStaccatoBelow							
4	4	7	7	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	57		articTenutoBelow							
4	4	6	6	0.5	0	0	Chord	2/4	2	2	1/8		1/8	1	58									
5	5	8	8	0.0	0	0	Chord	2/4	1	1	0	acciaccatura	1/8	1	59									
5	5	8	8	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	60		articAccentAbove							
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	61									
5	5	9	9	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	62		articAccentAbove							
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	63									
5	5	8	8	0.5	0	0	Chord	2/4	1	2	1/8		1/8	1	64									
5	5	17/2	17/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16		1/16	1	65				12					
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16		1/16	1	66				12					
5	5	9	9	0.5	1/4	1/4	Chord	2/4	1	2	1/8		1/8	1	67									
5	5	19/2	19/2	0.25	3/8	3/8	Chord	2/4	1	2	1/16		1/16	1	68				13					
5	5	39/4	39/4	0.25	7/16	7/16	Chord	2/4	1	2	1/16		1/16	1	69				13					
