mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0						"<font size=""12""/><font face=""Times New Roman""/><b>Allegro leggiero</b>"					
1	1	0	0	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	0		articAccentAbove		0				
1	1	1/4	1/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	1				0				
1	1	1/2	1/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	2				0				
1	1	3/4	3/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	3				0				
1	1	1	1	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	4				0				
1	1	5/4	5/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	5				0				
1	1	3/2	3/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	6				0				
1	1	7/4	7/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	7				0				
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	8		articStaccatoAbove						
1	1	0	0	0.0	0	0	Dynamic	3/4	2	1	0				p							
1	1	0	0	0.25	0	0	Chord	3/4	2	1	1/16	1/16	1	9								
1	1	1/4	1/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	10								
1	1	1/2	1/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	11								
1	1	3/4	3/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	12								
1	1	1	1	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	13								
1	1	5/4	5/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	14								
1	1	3/2	3/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	15								
1	1	7/4	7/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	16								
1	1	2	2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	17								
1	1	0	0	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	18								
1	1	2	2	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	19								
2	2	3	3	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	20		articAccentAbove		1				
2	2	13/4	13/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	21				1				
2	2	7/2	7/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	22				1				
2	2	15/4	15/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	23				1				
2	2	4	4	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	24				1				
2	2	17/4	17/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	25				1				
2	2	9/2	9/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	26				1				
2	2	19/4	19/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	27				1				
2	2	5	5	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	28		articStaccatoAbove						
2	2	3	3	0.25	0	0	Chord	3/4	2	1	1/16	1/16	1	29								
2	2	13/4	13/4	0.25	1/16	1/16	Chord	3/4	2	1	1/16	1/16	1	30								
2	2	7/2	7/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	31								
2	2	15/4	15/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	32								
2	2	4	4	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	33								
