mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0							leggiero									
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0							Allegro giocoso									
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								𝅗𝅥.=60	180.0	𝅗𝅥.	60.0	1.0				
1	1	0	0	0.0	0	0	Dynamic	3/4	2	1	0					p											
1	1	0	0	0.0	0	0	Spanner	3/4	2	1	0															0	0
1	1	0	0	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	0											0	0
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	1											0	0
2	2	3	3	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	2											0	0
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	3											0	0
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	4		articStaccatoBelow										
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	5									0			
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	6									0			
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	7									0			
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	8									0			
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	9												
3	3	6	6	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	10											0	0
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	11											0	0
4	4	9	9	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	12		articStaccatoBelow										
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	13									1			
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	14									1			
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	15									1			
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	16									1			
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	17												
4	4	9	9	0.0	0	0	Spanner	3/4	2	1	0																
4	4	9	9	0.0	0	0	Spanner	3/4	2	1	0															1	1
4	4	9	9	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	18											1	1
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	19											1	1
5	5	12	12	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	20									1			
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	21									1			
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	22									1			
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	23									1			
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	24									1			
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	25									1			
5	5	12	12	0.0	0	0	Spanner	3/4	1	2	0														0		
5	5	12	12	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	26										0		
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	27										0		
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	28										0		
5	5	12	12	0.0	0	0	Spanner	3/4	2	1	0																
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	29												
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	30												
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	31												
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	32												
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	33												
6	6	16	16	0.0	1/4	1/4	Dynamic	3/4	1	1	0					p											
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	34												
6	6	15	15	0.0	0	0	Spanner	3/4	1	2	0																
6	6	15	15	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	35												
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	36												
6	6	16	16	0.0	1/4	1/4	Spanner	3/4	2	1	0															2	2
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	37											2	2
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	38											2	2
7	7	18	18	0.0	0	0	StaffText	3/4	1	1	0							.									
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	39									2			
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	40									2			
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	41									2			
