mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""13""/><font face=""Times New Roman""/><b>Allegretto grazioso e leggierissimo</b>"									
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					pp											
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=130	130.0	𝅘𝅥	130.0	0.0				
1	1	0	0	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	0												
1	1	0	0	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	1												
1	1	0	0	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	2		articStaccatoBelow										
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	3		articStaccatoBelow										
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	4		articStaccatoAbove										
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	5		articStaccatoAbove										
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	6		articStaccatoBelow										
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	7		articStaccatoBelow										
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	8												
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	9		articStaccatoAbove										
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	10		articStaccatoBelow										
2	2	4	4	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	11		articTenutoBelow										
2	2	3	3	0.0	0	0	Spanner	3/4	2	1	0													0	0		
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	12		articStaccatoAbove							0	0		
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	13		articStaccatoBelow							0	0		
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	14		articStaccatoBelow							0	0		
3	3	6	6	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	15												
3	3	6	6	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	16												
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	17		articStaccatoBelow										
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	18		articStaccatoBelow										
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	19		articStaccatoAbove										
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	20		articStaccatoAbove										
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	21		articStaccatoBelow										
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	22		articStaccatoBelow										
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	23												
3	3	6	6	0.0	0	0	Spanner	3/4	2	1	0																
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	24		articStaccatoAbove										
4	4	9	9	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	25												
4	4	9	9	0.0	0	0	Spanner	3/4	2	1	0													1	1		
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	26		articStaccatoAbove							1	1		
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	27		articStaccatoBelow							1	1		
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	28		articStaccatoBelow							1	1		
5	5	12	12	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	29												
5	5	12	12	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	30												
5	5	12	12	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	31		articStaccatoBelow										
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	32		articStaccatoBelow										
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	33		articStaccatoBelow										
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	34		articStaccatoBelow										
5	5	12	12	0.0	0	0	Spanner	3/4	2	1	0																
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	35		articStaccatoAbove										
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	36		articStaccatoAbove										
6	6	15	15	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	37												
6	6	15	15	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	38												
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	39		articStaccatoBelow										
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	40		articStaccatoBelow										
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	41		articStaccatoBelow										
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	42		articStaccatoBelow										
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	43		articStaccatoAbove										
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	44		articStaccatoAbove										
7	7	18	18	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	45												
7	7	18	18	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	46												
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	47		articStaccatoBelow										
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	48		articStaccatoBelow										
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	49		articStaccatoBelow										
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	50		articStaccatoAbove										
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	51												
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	52												
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	53		articStaccatoAbove										
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	54		articStaccatoAbove										
7	7	19	19	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	55		articStaccatoBelow										
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	56		articStaccatoBelow										
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	2	1/4		1/4	1	57		articStaccatoBelow										
8	8	21	21	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	58												
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	59		articStaccatoBelow										
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	60		articStaccatoBelow										
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	61		articStaccatoBelow										
9	9	24	24	0.0	0	0	Dynamic	3/4	1	1	0					pp											
9	9	24	24	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	62												
9	9	24	24	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	63												
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	64		articStaccatoAbove										
