mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0						"<font size=""11""/><font face=""Times New Roman""/><b>Maestoso</b>"			
1	1	0	0	0.0	0	0	Dynamic	4/4	1	1	0				ff					
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	0		articAccentAbove				
1	1	0	0	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	1						
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	2		articAccentAbove				
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	3						
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	4		articAccentAbove				
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	5		articAccentAbove				
2	2	4	4	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	6						
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	7						
3	3	8	8	0.75	0	0	Chord	4/4	2	1	3/16	1/8	3/2	8						
3	3	35/4	35/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	9						
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	10		articStaccatoAbove				
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	11		articStaccatoAbove				
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	12		articStaccatoAbove				
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	13		articStaccatoAbove				
3	3	8	8	0.75	0	0	Chord	4/4	2	2	3/16	1/8	3/2	14						
3	3	35/4	35/4	0.25	3/16	3/16	Chord	4/4	2	2	1/16	1/16	1	15						
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	16		articStaccatoBelow				
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	17		articStaccatoBelow				
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	18		articStaccatoBelow				
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	19		articStaccatoBelow				
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	20						
4	4	12	12	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	21						
5	5	16	16	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	22						
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	23						
5	5	16	16	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	24		articAccentBelow				
5	5	18	18	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	25		articAccentBelow				
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	26						
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	27						
6	6	20	20	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	28		articAccentBelow				
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	29		articAccentBelow				
7	7	24	24	0.75	0	0	Chord	4/4	2	1	3/16	1/8	3/2	30						
7	7	99/4	99/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	31						
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	32		articStaccatoAbove				
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	33		articStaccatoAbove				
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	34		articStaccatoAbove				
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	35		articStaccatoAbove				
7	7	24	24	0.75	0	0	Chord	4/4	2	2	3/16	1/8	3/2	36						
7	7	99/4	99/4	0.25	3/16	3/16	Chord	4/4	2	2	1/16	1/16	1	37						
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	38		articStaccatoBelow				
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	39		articStaccatoBelow				
7	7	26	26	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	40		articStaccatoBelow				
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	41		articStaccatoBelow				
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	42						
8	8	28	28	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	43						
9	9	32	32	0.0	0	0	Dynamic	4/4	1	1	0				p					
9	9	32	32	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	44						
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	45						
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	46						
