mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	decrescendo_hairpin	crescendo_hairpin	Ottava:8va
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0								𝅘𝅥=220	220.0	𝅘𝅥	220.0	0.0					
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""11""/><b>Allegro con moto</b>"										
1	1	0	0	0.0	0	0	Dynamic	3/4	2	1	0					p												
1	1	0	0	0.0	0	0	StaffText	3/4	2	1	0							con Pedale										
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	0		articStaccatoBelow											
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	1		articStaccatoAbove											
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	2		articStaccatoBelow											
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	3		articStaccatoBelow											
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	4		articStaccatoAbove											
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	5		articStaccatoBelow											
3	3	6	6	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	6													
3	3	6	6	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	7		articAccentAbove							0				
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	8													
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	9													
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	10													
4	4	9	9	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	11									0				
4	4	10	10	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	12									0				
4	4	10	10	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	13									0				
4	4	10	10	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	14									0				
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	15									0				
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	16													
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	17													
4	4	11	11	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	18													
5	5	12	12	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	19									0				
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	20									0				
5	5	13	13	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	21									0				
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	22													
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	23													
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	24													
6	6	15	15	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	25									0				
6	6	16	16	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	26									0				
6	6	16	16	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	27									0				
6	6	16	16	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	28									0				
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	29									0				
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	30													
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	31													
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	32													
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	33									0				
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	34									0				
7	7	19	19	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	35									0				
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	36													
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	37													
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	38													
8	8	21	21	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""11""/><i>rubato</i>"						0				
8	8	21	21	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	39									0				
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	40									0				
8	8	22	22	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	41									0				
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	42									0				
8	8	23	23	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	43									0				
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	44									0				
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	45													
8	8	22	22	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	46													
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	47													
9	9	24	24	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	48									0				
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	49													
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	50													
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	51													
10	10	27	27	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	52													
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	53													
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	54													
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	55													
11	11	30	30	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""11""/><i>cresc.</i>"										
11	11	30	30	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	56													
11	11	30	30	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	57		articAccentAbove							1				
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	58													
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	59													
12	12	33	33	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	60									1				
12	12	34	34	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	61									1				
12	12	34	34	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	62									1				
12	12	34	34	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	63									1				
12	12	71/2	71/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	64									1				
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	65													
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	66													
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	67													
13	13	36	36	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	68									1				
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	69									1				
13	13	37	37	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	70									1				
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	71													
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	72													
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	73													
14	14	39	39	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	74									1				
14	14	40	40	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	75									1				
14	14	40	40	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	76									1				
14	14	40	40	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	77									1				
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	78									1				
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	79													
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	80													
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	81													
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	82									1				
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	83									1				
15	15	43	43	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	84									1				
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	85													
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	86													
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	87													
16	16	45	45	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""10""/><i>rubato</i>"						1				
16	16	45	45	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	88									1				
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	89									1				
16	16	46	46	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	90									1				
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	91									1				
16	16	47	47	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	92									1				
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	93									1				
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	94													
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	95													
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	96													
17	17	48	48	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	97									1				
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	98													
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	99													
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	100													
18	18	51	51	0.0	0	0	Spanner	3/4	1	1	0																0	
18	18	51	51	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	101												0	
18	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	102													
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	103													
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	104													
19	19	54	54	0.0	0	0	Dynamic	3/4	1	1	0					fz												
19	19	54	54	0.0	0	0	Spanner	3/4	1	1	0																	
19	19	54	54	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	105													
19	19	54	54	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	106													
19	19	54	54	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	107		articAccentAbove							2				
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	108													
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	109													
20	20	57	57	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	110									2				
20	20	58	58	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	111									2				
20	20	58	58	0.0	1/4	1/4	Chord	3/4	1	1	0	grace16	1/16	1	112									2				
20	20	58	58	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	113									2				
20	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	114									2				
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	115													
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	116													
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	117													
21	21	60	60	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	118									2				
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	119									2				
21	21	61	61	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	120		articAccentAbove							2				
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	121													
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	122													
22	22	63	63	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	123									2				
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	124									2				
22	22	64	64	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	125									2				
