mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>
1	1	0	0	0.0	0	0	StaffText	2/2	1	1	0						"<font size=""13""/><font face=""Times New Roman""/><b>Allegro vivace e marcato</b>"								
1	1	0	0	0.0	0	0	Dynamic	2/2	1	1	0				f										
1	1	0	0	0.0	0	0	Tempo	2/2	1	1	0							𝅗𝅥=100	200.0	𝅗𝅥	100.0	0.0			
1	1	0	0	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	0		articAccentBelow									
1	1	2	2	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	1		articAccentBelow									
1	1	0	0	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	2		articAccentAbove									
1	1	2	2	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	3		articAccentAbove									
2	2	4	4	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	4		articAccentBelow									
2	2	6	6	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	5											
2	2	7	7	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	6		articStaccatoBelow									
2	2	5	5	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	7		articStaccatoBelow									
2	2	6	6	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	8		articStaccatoAbove									
2	2	7	7	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	9		articStaccatoAbove									
3	3	8	8	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	10		articStaccatoBelow									
3	3	9	9	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	11		articStaccatoBelow									
3	3	10	10	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	12		articStaccatoBelow									
3	3	11	11	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	13											
3	3	23/2	23/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	14											
3	3	11	11	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	15											
3	3	8	8	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	16		articStaccatoBelow									
3	3	9	9	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	17		articStaccatoBelow									
3	3	10	10	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	18		articStaccatoBelow									
3	3	11	11	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	19		articStaccatoBelow									
4	4	12	12	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	20		articStaccatoBelow									
4	4	13	13	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	21		articStaccatoBelow									
4	4	14	14	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	22		articAccentBelow									
4	4	12	12	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	23		articStaccatoBelow									
4	4	13	13	2.0	1/4	1/4	Chord	2/2	2	1	1/2	1/2	1	24											
4	4	15	15	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	25		articStaccatoBelow									
5	5	16	16	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	26		articAccentBelow									
5	5	18	18	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	27		articAccentBelow									
5	5	16	16	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	28		articAccentAbove									
5	5	18	18	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	29		articAccentAbove									
6	6	20	20	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	30		articAccentBelow									
6	6	22	22	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	31											
6	6	23	23	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	32		articStaccatoBelow									
6	6	21	21	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	33		articStaccatoAbove									
6	6	22	22	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	34		articStaccatoAbove									
6	6	23	23	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	35		articStaccatoAbove									
7	7	24	24	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	36		articStaccatoBelow									
7	7	25	25	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	37		articStaccatoBelow									
7	7	26	26	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	38		articStaccatoBelow									
7	7	27	27	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	39											
7	7	55/2	55/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	40											
7	7	27	27	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	41											
7	7	24	24	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	42		articStaccatoAbove									
7	7	25	25	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	43		articStaccatoAbove									
7	7	26	26	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	44		articStaccatoAbove									
7	7	27	27	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	45		articStaccatoAbove									
8	8	28	28	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	46		articStaccatoBelow									
8	8	29	29	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	47		articStaccatoBelow									
8	8	30	30	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	48		articAccentBelow									
8	8	28	28	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	49		articStaccatoAbove									
8	8	29	29	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	50		articStaccatoBelow									
8	8	30	30	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	51		articStaccatoBelow									
8	8	31	31	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	52		articStaccatoBelow									
9	9	32	32	0.0	0	0	Dynamic	2/2	1	1	0				f										
9	9	32	32	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	53		articAccentBelow									
9	9	34	34	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	54		articAccentBelow									
9	9	32	32	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	55		articAccentAbove									
9	9	34	34	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	56		articAccentAbove									
10	10	36	36	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	57		articAccentBelow									
10	10	38	38	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	58											
10	10	39	39	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	59		articStaccatoBelow									
10	10	37	37	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	60		articStaccatoBelow									
10	10	38	38	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	61		articStaccatoAbove									
