mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8va	decrescendo_hairpin	crescendo_hairpin	crescendo_line	Trill:trill
1	1	0	0	0.0	0	0	StaffText	9/8	1	1	0							Andante													
1	1	0	0	0.0	0	0	Dynamic	9/8	1	1	0					p															
1	1	0	0	0.0	0	0	Tempo	9/8	1	1	0								𝅘𝅥.=60	90.0	𝅘𝅥.	60.0	0.0								
1	1	0	0	1.5	0	0	Chord	9/8	1	1	3/8		1/4	3/2	0																
1	1	3/2	3/2	0.5	3/8	3/8	Chord	9/8	1	1	1/8		1/8	1	1																
1	1	0	0	0.0	0	0	Spanner	9/8	2	1	0														0	0					
1	1	1/2	1/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	2										0	0					
1	1	1	1	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	3										0	0					
1	1	3/2	3/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	4										0	0					
1	1	2	2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	5										0	0					
1	1	5/2	5/2	0.0	5/8	5/8	Spanner	9/8	2	1	0																				
1	1	5/2	5/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	6																
1	1	3	3	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	7																
1	1	7/2	7/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	8																
1	1	4	4	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	9																
1	1	3/2	3/2	1.5	3/8	3/8	Chord	9/8	2	2	3/8		1/4	3/2	10									0							
1	1	3	3	1.5	3/4	3/4	Chord	9/8	2	2	3/8		1/4	3/2	11									0							
2	2	9/2	9/2	0.0	0	0	Chord	9/8	1	1	0	acciaccatura	1/8	1	12																
2	2	9/2	9/2	1.5	0	0	Chord	9/8	1	1	3/8		1/4	3/2	13		articAccentAbove							1							
2	2	6	6	3.0	3/8	3/8	Chord	9/8	1	1	3/4		1/2	3/2	14																
2	2	9/2	9/2	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	15																
2	2	5	5	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	16																
2	2	11/2	11/2	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	17																
2	2	6	6	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	18																
2	2	13/2	13/2	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	19																
2	2	7	7	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	20																
2	2	15/2	15/2	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	21																
2	2	8	8	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	22																
2	2	17/2	17/2	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	23																
2	2	9/2	9/2	1.5	0	0	Chord	9/8	2	2	3/8		1/4	3/2	24									0							
2	2	6	6	1.5	3/8	3/8	Chord	9/8	2	2	3/8		1/4	3/2	25									0							
2	2	15/2	15/2	1.5	3/4	3/4	Chord	9/8	2	2	3/8		1/4	3/2	26																
3	3	9	9	1.5	0	0	Chord	9/8	1	1	3/8		1/4	3/2	27																
3	3	21/2	21/2	0.5	3/8	3/8	Chord	9/8	1	1	1/8		1/8	1	28																
3	3	9	9	0.0	0	0	Spanner	9/8	2	1	0														1	1					
3	3	9	9	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	29										1	1					
3	3	19/2	19/2	0.5	1/8	1/8	Chord	9/8	2	1	1/8		1/8	1	30										1	1					
3	3	10	10	0.5	1/4	1/4	Chord	9/8	2	1	1/8		1/8	1	31										1	1					
3	3	21/2	21/2	0.5	3/8	3/8	Chord	9/8	2	1	1/8		1/8	1	32										1	1					
3	3	11	11	0.5	1/2	1/2	Chord	9/8	2	1	1/8		1/8	1	33										1	1					
3	3	23/2	23/2	0.0	5/8	5/8	Spanner	9/8	2	1	0																				
3	3	23/2	23/2	0.5	5/8	5/8	Chord	9/8	2	1	1/8		1/8	1	34																
3	3	12	12	0.5	3/4	3/4	Chord	9/8	2	1	1/8		1/8	1	35																
3	3	25/2	25/2	0.5	7/8	7/8	Chord	9/8	2	1	1/8		1/8	1	36																
3	3	13	13	0.5	1	1	Chord	9/8	2	1	1/8		1/8	1	37																
3	3	21/2	21/2	1.5	3/8	3/8	Chord	9/8	2	2	3/8		1/4	3/2	38									2							
3	3	12	12	1.5	3/4	3/4	Chord	9/8	2	2	3/8		1/4	3/2	39									2							
4	4	27/2	27/2	0.0	0	0	Chord	9/8	1	1	0	acciaccatura	1/8	1	40																
4	4	27/2	27/2	0.75	0	0	Chord	9/8	1	1	3/16		1/8	3/2	41		articAccentAbove														
4	4	57/4	57/4	0.25	3/16	3/16	Chord	9/8	1	1	1/16		1/16	1	42		articTenutoAbove														
4	4	29/2	29/2	0.5	1/4	1/4	Chord	9/8	1	1	1/8		1/8	1	43		articTenutoAbove														
4	4	15	15	3.0	3/8	3/8	Chord	9/8	1	1	3/4		1/2	3/2	44																
4	4	27/2	27/2	0.5	0	0	Chord	9/8	2	1	1/8		1/8	1	45																
