mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur	Ottava:8va	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0							Allegromoderato	142.0	1.0				
1	1	0	0	0.0	0	0	Dynamic	2/4	2	1	0					pp								
1	1	0	0	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	0		articAccentStaccatoBelow							
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	1		articStaccatoBelow							
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	2		articAccentStaccatoBelow							
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	3		articStaccatoBelow							
2	2	7/2	7/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	4						0			
2	2	29/8	29/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	5						0			
2	2	15/4	15/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	6						0			
2	2	31/8	31/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	7						0			
2	2	2	2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	8		articStaccatoBelow							
2	2	5/2	5/2	0.0	1/8	1/8	Dynamic	2/4	2	1	0					other-dynamics								
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	9		articStaccatoBelow							
2	2	3	3	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	10		articStaccatoBelow							
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	11		articStaccatoBelow							
3	3	4	4	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	12		articStaccatoBelow							
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	13		articStaccatoBelow							
3	3	5	5	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	14		articStaccatoBelow							
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	15		articStaccatoBelow							
3	3	4	4	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	16		articStaccatoBelow							
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	17		articStaccatoBelow							
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	18		articStaccatoBelow							
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	19		articStaccatoBelow							
4	4	6	6	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	20		articStaccatoBelow							
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	21		articStaccatoBelow							
4	4	7	7	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	22		articStaccatoBelow							
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	23		articStaccatoBelow							
4	4	6	6	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	24		articStaccatoBelow							
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	25		articStaccatoBelow							
4	4	7	7	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	26		articStaccatoBelow							
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	27		articStaccatoBelow							
5	5	8	8	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	28		articStaccatoBelow							
5	5	17/2	17/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	29		articStaccatoBelow							
5	5	9	9	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	30		articStaccatoBelow							
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	31		articStaccatoBelow							
5	5	8	8	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	32		articStaccatoBelow							
