mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
20	20	38	38	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	97								
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	98				9				
20	20	39	39	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	99				9				
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	100								
20	20	77/2	77/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	101								
21	21	40	40	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	102								
21	21	41	41	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	103								
21	21	167/4	167/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	104								
21	21	81/2	81/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	105				10				
21	21	41	41	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	106				10				
21	21	83/2	83/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	107								
21	21	81/2	81/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	108								
22	22	42	42	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	109				11				
22	22	43	43	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	110								
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	111				12				
22	22	43	43	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	112				12				
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	113								
22	22	85/2	85/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	114								
23	23	177/4	177/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	115				13				
23	23	89/2	89/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	116				13				
23	23	179/4	179/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	117				13				
23	23	45	45	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	118				13				
23	23	45	45	0.0	1/4	1/4	Chord	2/4	1	1	0	grace16	1/16	1	119				13				
23	23	45	45	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	120				13				
23	23	181/4	181/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	121				13				
23	23	91/2	91/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	122				13				
23	23	183/4	183/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	123				13				
23	23	89/2	89/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	124				14				
23	23	45	45	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	125				14				
23	23	91/2	91/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	126								
23	23	89/2	89/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	127								
24	24	46	46	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	128								
24	24	93/2	93/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	129				15				
24	24	47	47	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	130				15				
24	24	95/2	95/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	131								
24	24	93/2	93/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	132								
25	25	48	48	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""10""/><font face=""Times New Roman""/><i>cresc. ed agitato</i>"					
25	25	48	48	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	133								
25	25	49	49	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	134								
25	25	199/4	199/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	135								
25	25	97/2	97/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	136				16				
25	25	49	49	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	137				16				
25	25	99/2	99/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	138								
25	25	97/2	97/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	139								
26	26	50	50	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	140				17				
26	26	51	51	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	141				17				
26	26	101/2	101/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	142				18				
26	26	51	51	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	143				18				
26	26	103/2	103/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	144								
26	26	101/2	101/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	145								
27	27	52	52	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	146				17				
27	27	53	53	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	147				17				
27	27	105/2	105/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	148				19				
27	27	53	53	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	149				19				
27	27	107/2	107/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	150								
27	27	105/2	105/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	151								
28	28	54	54	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	152				17				
28	28	109/2	109/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	153				17				
28	28	55	55	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	154				17				
28	28	111/2	111/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	155								
28	28	109/2	109/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	156				20				
28	28	55	55	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	157				20				
28	28	111/2	111/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	158								
28	28	109/2	109/2	1.5	1/8	1/8	Chord	2/4	2	2	3/8		1/4	3/2	159								
29	29	56	56	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	160				21				
29	29	57	57	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	161								
29	29	113/2	113/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	162				22				
29	29	57	57	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	163				22				
29	29	115/2	115/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	164				22				
30	30	58	58	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	165								
30	30	58	58	0.0	0	0	Spanner	2/4	2	1	0								22				0
30	30	58	58	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	166				22				0
30	30	117/2	117/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	167				22				0
30	30	59	59	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	168				22				0
30	30	119/2	119/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	169								0
31	31	60	60	0.0	0	0	Dynamic	2/4	1	1	0					f							
31	31	60	60	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	170				23				
31	31	61	61	1.0	1/4	1/4	Chord	2/4	1	1	1/4		1/4	1	171								
31	31	60	60	0.0	0	0	Spanner	2/4	2	1	0												
31	31	121/2	121/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	172				24				
31	31	61	61	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	173				24				
31	31	123/2	123/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	174				24				
32	32	62	62	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	175								
32	32	62	62	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	176				24				
32	32	125/2	125/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	177				24				
32	32	63	63	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	178				24				
32	32	127/2	127/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	179								
33	33	64	64	0.0	0	0	Spanner	2/4	1	1	0											0	
33	33	64	64	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	180							0	
33	33	64	64	0.0	0	0	Spanner	2/4	2	1	0									0	0		
33	33	129/2	129/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	181				25	0	0		
33	33	65	65	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	182				25	0	0		
33	33	131/2	131/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	183				25	0	0		
34	34	66	66	0.0	0	0	Spanner	2/4	1	1	0												
34	34	66	66	2.0	0	0	Chord	2/4	1	1	1/2		1/2	1	184								
34	34	66	66	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	185				25	0	0		
34	34	133/2	133/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	186				25	0	0		
34	34	67	67	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	187				25	0	0		
34	34	135/2	135/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	188					0	0		
35	35	69	69	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	189		articAccentAbove		26	0	0		
36	36	70	70	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	190				26	0	0		
36	36	71	71	0.0	1/4	1/4	Spanner	2/4	2	1	0								26	0	0	1	
36	36	71	71	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	191				26	0	0	1	
37	37	72	72	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	192				26	0	0	1	
37	37	145/2	145/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	193				26	0	0	1	
37	37	73	73	0.0	1/4	1/4	Spanner	2/4	2	1	0								26	0	0		
37	37	73	73	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	194				26	0	0		
37	37	147/2	147/2	0.0	3/8	3/8	Spanner	2/4	2	1	0								26				
37	37	147/2	147/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	195				26				
38	38	74	74	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	196				26				
38	38	149/2	149/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	197				26				
38	38	75	75	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	198				26				
38	38	151/2	151/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	199								
39	39	153/2	153/2	0.0	1/8	1/8	StaffText	2/4	1	1	0							"<font size=""12""/><font face=""Times New Roman""/><b>Tempo I.</b>"					
39	39	153/2	153/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	200								
39	39	155/2	155/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	201								
39	39	76	76	0.0	0	0	Dynamic	2/4	2	1	0					p							
39	39	76	76	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	202		articAccentBelow		27				
39	39	77	77	0.75	1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	203				27				
39	39	311/4	311/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	204				27				
40	40	157/2	157/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	205								
40	40	159/2	159/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	206								
40	40	78	78	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	207		articAccentBelow		27				
40	40	79	79	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	208				27				
41	41	161/2	161/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	209								
41	41	163/2	163/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	210								
41	41	80	80	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	211		articAccentBelow		27				
41	41	81	81	0.75	1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	212				27				
41	41	327/4	327/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	213				27				
42	42	165/2	165/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	214								
42	42	167/2	167/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	215								
42	42	82	82	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	216		articAccentBelow						
43	43	169/2	169/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	217								
43	43	171/2	171/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	218								
43	43	84	84	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	219		articAccentBelow		28				
43	43	85	85	0.75	1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	220				28				
43	43	343/4	343/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	221				28				
44	44	173/2	173/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	222								
44	44	175/2	175/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	223								
44	44	86	86	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	224		articAccentBelow		28				
44	44	87	87	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	225				28				
45	45	177/2	177/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	226								
45	45	179/2	179/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	227								
45	45	88	88	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	228		articAccentBelow		28				
45	45	89	89	0.75	1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	229				28				
45	45	359/4	359/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	230				28				
46	46	181/2	181/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	231								
46	46	183/2	183/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	232								
46	46	90	90	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	233		articAccentAbove		28				
46	46	90	90	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	234								
46	46	91	91	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	235								
47	47	185/2	185/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	236								
47	47	187/2	187/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	237								
47	47	92	92	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	238		articAccentAbove		29				
47	47	93	93	0.75	1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	239				29				
47	47	375/4	375/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	240				29				
48	48	189/2	189/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	241								
48	48	191/2	191/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	242								
48	48	94	94	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	243		articAccentAbove		29				
48	48	95	95	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	244				29				
49	49	193/2	193/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	245								
49	49	195/2	195/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	246								
49	49	96	96	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	247		articAccentAbove		29				
49	49	97	97	0.75	1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	248				29				
49	49	391/4	391/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	249				29				
50	50	197/2	197/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	250								
50	50	199/2	199/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	251								
50	50	98	98	2.0	0	0	Chord	2/4	2	1	1/2		1/2	1	252		articAccentBelow						
51	51	201/2	201/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	253								
51	51	203/2	203/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	254								
51	51	100	100	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	255		articAccentBelow		30				
51	51	101	101	0.75	1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	256				30				
51	51	407/4	407/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	257				30				
52	52	205/2	205/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	258								
52	52	207/2	207/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	259								
52	52	102	102	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	260		articAccentBelow		30				
52	52	103	103	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	261				30				
53	53	209/2	209/2	1.0	1/8	1/8	Chord	2/4	1	1	1/4		1/4	1	262								
