mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							Moltoallegroesemprestaccato	132.0			1.0					
1	1	0	0	0.0	0	0	Dynamic	3/4	1	1	0					pp											
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							𝅗𝅥space.=80	240.0	𝅗𝅥space.	80.0	0.0					
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	0		articStaccatoAbove										
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	1		articStaccatoAbove										
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	2		articStaccatoAbove										
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	3		articStaccatoBelow										
1	1	1	1	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	4		articStaccatoBelow										
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	5		articStaccatoBelow										
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	6		articStaccatoAbove										
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	7		articStaccatoAbove										
2	2	5	5	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	8								0				
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	9								0				
2	2	3	3	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	10		articStaccatoBelow										
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	11		articStaccatoBelow										
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	12								0				
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	13								0				
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	14								0				
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	15								0				
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	16								0				
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	17								0				
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	18		articStaccatoBelow										
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	19		articStaccatoBelow										
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	20		articStaccatoBelow										
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	21								0				
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	22								0				
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	23								0				
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	24								0				
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	25		articStaccatoAbove										
4	4	9	9	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	26		articStaccatoBelow										
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	27		articStaccatoAbove										
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	28		articStaccatoAbove										
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	29		articStaccatoAbove										
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	30		articStaccatoAbove										
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	31		articStaccatoAbove										
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	32		articStaccatoAbove										
6	6	15	15	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	33		articStaccatoAbove										
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	34		articStaccatoAbove										
6	6	17	17	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	35								1				
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	36								1				
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	37		articStaccatoAbove										
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	38		articStaccatoAbove										
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	39								1				
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	40												
7	7	19	19	0.0	1/4	1/4	Spanner	3/4	1	1	0																0
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	41												0
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	42												0
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	43												0
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	44												0
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	45								2				
7	7	19	19	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	46								2				
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	47								2				
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	48		articStaccatoBelow										
8	8	21	21	0.0	0	0	Dynamic	3/4	1	1	0					fz											
8	8	21	21	0.0	0	0	Spanner	3/4	1	1	0																
8	8	21	21	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	49												
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	50												
8	8	22	22	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	51												
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	52												
8	8	23	23	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	53												
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	54												
8	8	21	21	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	55								3				
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	56												
9	9	24	24	0.0	0	0	Dynamic	3/4	1	1	0					pp											
9	9	24	24	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	57		articStaccatoAbove										
9	9	25	25	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	58		articStaccatoAbove										
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	59		articStaccatoAbove										
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	60		articStaccatoBelow										
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	61		articStaccatoBelow										
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	62		articStaccatoBelow										
