mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
10	10	27	27	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	63		articStaccatoAbove										
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	64		articStaccatoAbove										
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	65								4				
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	66								4				
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	67		articStaccatoBelow										
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	68		articStaccatoBelow										
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	69								4				
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	70								4				
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	71								4				
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	72								4				
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	73								4				
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	74								4				
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	75		articStaccatoBelow										
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	76		articStaccatoBelow										
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	77		articStaccatoBelow										
12	12	33	33	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	78								4				
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	79								4				
12	12	34	34	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	80								4				
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	81								4				
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	82		articStaccatoAbove										
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	83		articStaccatoBelow										
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	84		articStaccatoBelow										
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	85		articStaccatoAbove										
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	86		articStaccatoAbove										
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	87		articStaccatoAbove										
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	88		articStaccatoAbove										
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	89		articStaccatoAbove										
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	90		articStaccatoAbove										
14	14	39	39	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	91		articStaccatoAbove										
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	92		articStaccatoAbove										
14	14	41	41	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	93								5				
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	94								5				
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	95		articStaccatoAbove										
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	96		articStaccatoAbove										
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	97								5				
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	98								5				
15	15	43	43	0.0	1/4	1/4	Spanner	3/4	1	1	0												5				1
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	99								5				1
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	100								5				1
15	15	44	44	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	101								5				1
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	102								5				1
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	103								6				
15	15	43	43	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	104								6				
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	105								6				
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	106		articStaccatoBelow										
16	16	45	45	0.0	0	0	Dynamic	3/4	1	1	0					fz							5				
16	16	45	45	0.0	0	0	Spanner	3/4	1	1	0												5				
16	16	45	45	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	107								5				
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	108								5				
16	16	46	46	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	109								5				
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	110								5				
16	16	47	47	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	111								5				
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	112												
16	16	45	45	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	113								7				
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	114												
17	17	48	48	0.0	0	0	Dynamic	3/4	1	1	0					f											
17	17	48	48	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	115		articStaccatoBelow										
17	17	49	49	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	116		articStaccatoBelow										
17	17	50	50	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	117		articStaccatoBelow										
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	118		articStaccatoBelow										
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	119		articStaccatoBelow										
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	120		articStaccatoBelow										
18	18	51	51	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	121		articStaccatoBelow										
18	18	52	52	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	122		articStaccatoBelow										
18	18	53	53	0.0	1/2	1/2	Dynamic	3/4	1	1	0					pp											
18	18	53	53	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	123								8				
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	124								8				
18	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	125		articStaccatoBelow										
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	126		articStaccatoBelow										
19	19	54	54	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	127								8				
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	128								8				
19	19	55	55	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	129								8				
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	130								8				
19	19	56	56	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	131								8				
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	132								8				
19	19	54	54	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	133		articStaccatoAbove										
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	134		articStaccatoAbove										
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	135		articStaccatoAbove										
20	20	57	57	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	136								8				
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	137								8				
20	20	58	58	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	138								8				
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	139												
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	140		articStaccatoAbove										
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	141		articStaccatoAbove										
21	21	60	60	0.0	0	0	Dynamic	3/4	1	1	0					f											
21	21	60	60	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	142		articStaccatoBelow										
21	21	61	61	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	143		articStaccatoBelow										
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	144		articStaccatoBelow										
21	21	60	60	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	145		articStaccatoBelow										
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	146		articStaccatoBelow										
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	147		articStaccatoBelow										
22	22	63	63	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	148		articStaccatoBelow										
22	22	64	64	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	149		articStaccatoBelow										
22	22	65	65	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	150								9				
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	151								9				
22	22	63	63	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	152		articStaccatoBelow										
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	153		articStaccatoBelow										
22	22	65	65	0.0	1/2	1/2	Dynamic	3/4	2	1	0					pp											
23	23	66	66	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	154								9				
23	23	133/2	133/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	155								9				
23	23	67	67	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	156								9				
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	157								9				
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	158								9				
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	159								9				
23	23	66	66	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	160		articStaccatoAbove										
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	161		articStaccatoAbove										
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	162		articStaccatoAbove										
24	24	69	69	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	163								9				
24	24	139/2	139/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	164								9				
24	24	70	70	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	165								9				
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	166												
24	24	71	71	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	167								10				
24	24	143/2	143/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	168								10				
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	169		articStaccatoAbove										
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	170		articStaccatoAbove										
25	25	72	72	0.0	0	0	Spanner	3/4	1	1	0												10				2
25	25	72	72	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	171								10				2
25	25	145/2	145/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	172								10				2
25	25	73	73	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	173								10				2
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	174								10				2
25	25	74	74	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	175								10				2
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	176								10				2
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	177		articStaccatoAbove										
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	178		articStaccatoAbove										
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	179		articStaccatoAbove										
26	26	75	75	0.0	0	0	Spanner	3/4	1	1	0												10				
26	26	75	75	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	180								10				
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	181								10				
26	26	76	76	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	182								10				
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	183												
26	26	77	77	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	184								11				
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	185								11				
26	26	75	75	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	186		articStaccatoAbove										
26	26	76	76	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	187		articStaccatoAbove										
27	27	78	78	0.0	0	0	Dynamic	3/4	1	1	0					f							11				
27	27	78	78	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	188								11				
27	27	157/2	157/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	189								11				
27	27	79	79	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	190								11				
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	191								11				
27	27	80	80	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	192								11				
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	193								11				
27	27	78	78	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	194		articStaccatoBelow										
27	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	195		articStaccatoBelow										
27	27	80	80	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	196		articStaccatoBelow										
28	28	81	81	0.0	0	0	Spanner	3/4	1	1	0												11			0	
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	197								11			0	
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	198								11			0	
28	28	82	82	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	199								11			0	
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	200								11			0	
28	28	83	83	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	201								11			0	
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	202											0	
28	28	81	81	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	203		articStaccatoBelow										
28	28	82	82	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	204		articStaccatoBelow										
28	28	83	83	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	205		articStaccatoBelow										
29	29	84	84	0.0	0	0	Spanner	3/4	1	1	0																
29	29	84	84	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	206												
29	29	169/2	169/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	207												
29	29	85	85	0.0	1/4	1/4	Dynamic	3/4	1	1	0					pp											
29	29	85	85	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	208												
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	209												
29	29	86	86	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	210												
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	211												
29	29	84	84	0.0	0	0	Spanner	3/4	2	1	0													0	0		
29	29	84	84	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	212		articStaccatoBelow							0	0		
29	29	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	213		articStaccatoBelow							0	0		
29	29	86	86	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	214		articStaccatoBelow							0	0		
30	30	87	87	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	215												
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	216												
30	30	88	88	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	217												
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	218												
30	30	89	89	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	219												
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	220												
30	30	87	87	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	221		articStaccatoBelow							0	0		
30	30	88	88	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	222		articStaccatoBelow							0	0		
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	223		articStaccatoBelow							0	0		
31	31	90	90	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	224		articStaccatoAbove										
31	31	91	91	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	225		articStaccatoAbove										
31	31	92	92	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	226		articStaccatoAbove										
31	31	90	90	0.0	0	0	Spanner	3/4	2	1	0																
31	31	90	90	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	227		articStaccatoBelow										
31	31	91	91	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	228		articStaccatoBelow										
31	31	92	92	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	229		articStaccatoBelow										
32	32	93	93	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	230		articStaccatoAbove										
32	32	94	94	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	231		articStaccatoAbove										
32	32	95	95	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	232								12				
32	32	191/2	191/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	233								12				
32	32	93	93	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	234		articStaccatoBelow										
32	32	94	94	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	235		articStaccatoBelow										
33	33	96	96	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	236								12				
33	33	193/2	193/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	237								12				
33	33	97	97	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	238								12				
33	33	195/2	195/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	239								12				
33	33	98	98	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	240								12				
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	241								12				
33	33	96	96	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	242		articStaccatoBelow										
33	33	97	97	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	243		articStaccatoBelow										
33	33	98	98	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	244		articStaccatoBelow										
34	34	99	99	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	245								12				
34	34	199/2	199/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	246								12				
34	34	100	100	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	247								12				
34	34	201/2	201/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	248								12				
34	34	101	101	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	249		articStaccatoAbove										
34	34	99	99	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	250		articStaccatoBelow										
35	35	102	102	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	251		articStaccatoAbove										
35	35	103	103	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	252		articStaccatoAbove										
