mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	6/8	1	1	0							"<font size=""13""/><font face=""Times New Roman""/><b>Allegretto serioso</b>"			
1	1	0	0	0.0	0	0	Dynamic	6/8	1	1	0					p					
1	1	0	0	3.0	0	0	Chord	6/8	1	1	3/4		1/2	3/2	0		articAccentAbove				
2	2	3	3	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	1						
2	2	15/4	15/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	2						
2	2	4	4	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	3						
2	2	17/4	17/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	4						
2	2	9/2	9/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	5				0		
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	6						
2	2	3	3	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	7						
2	2	7/2	7/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	8				1		
2	2	4	4	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	9						
2	2	5	5	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	10				2		
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	11						
3	3	6	6	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	12						
3	3	27/4	27/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	13						
3	3	7	7	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	14						
3	3	29/4	29/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	15						
3	3	15/2	15/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	16				3		
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	17						
3	3	6	6	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	18						
3	3	15/2	15/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	19						
3	3	13/2	13/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	20				4		
3	3	7	7	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	21						
3	3	8	8	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	22				5		
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	23						
4	4	9	9	0.0	0	0	Spanner	6/8	1	1	0										0
4	4	9	9	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	24						0
4	4	39/4	39/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	25						0
4	4	10	10	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	26						0
4	4	41/4	41/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	27						0
4	4	21/2	21/2	0.0	3/8	3/8	Spanner	6/8	1	1	0										
4	4	21/2	21/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	28		articAccentAbove		6		
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	29						
4	4	9	9	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	30						
4	4	21/2	21/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	31						
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	32				7		
4	4	10	10	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	33						
4	4	11	11	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	34				8		
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	35						
5	5	12	12	0.0	0	0	Spanner	6/8	1	1	0									0	
5	5	12	12	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	36				9	0	
5	5	13	13	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	37				9	0	
5	5	27/2	27/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	38					0	
5	5	14	14	0.0	1/2	1/2	Spanner	6/8	1	1	0										
5	5	12	12	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	39						
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	40						
5	5	14	14	0.5	1/2	1/2	Chord	6/8	1	2	1/8		1/8	1	41						
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	42						
5	5	25/2	25/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	43				10		
5	5	13	13	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	44						
5	5	14	14	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	45				11		
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	46						
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	47				12		
6	6	16	16	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	48						
6	6	17	17	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	49				13		
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	50						
6	6	15	15	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	51						
6	6	63/4	63/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	52						
6	6	16	16	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	53						
6	6	65/4	65/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	54						
6	6	33/2	33/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	55				14		
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	56						
6	6	15	15	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	57						
6	6	33/2	33/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	58						
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	59				15		
7	7	19	19	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	60						
7	7	20	20	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	61				16		
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	62						
7	7	18	18	0.0	0	0	Spanner	6/8	2	1	0										1
7	7	18	18	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	63						1
7	7	75/4	75/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	64						1
7	7	19	19	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	65						1
7	7	77/4	77/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	66						1
7	7	39/2	39/2	0.0	3/8	3/8	Spanner	6/8	2	1	0										
7	7	39/2	39/2	0.0	3/8	3/8	Spanner	6/8	2	1	0									1	
7	7	39/2	39/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	67				17	1	
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	68					1	
7	7	18	18	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	69					1	
7	7	39/2	39/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	70					1	
8	8	43/2	43/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	71				18		
8	8	22	22	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	72						
8	8	23	23	0.0	1/2	1/2	StaffText	6/8	1	1	0							"<font size=""11""/><font face=""Times New Roman""/><i>poco rit.</i>"			
8	8	23	23	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	73				19		
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	74						
8	8	21	21	0.0	0	0	Spanner	6/8	2	1	0										
8	8	21	21	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	75						
8	8	87/4	87/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	76						
8	8	22	22	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	77						
8	8	89/4	89/4	0.0	5/16	5/16	Spanner	6/8	2	1	0									2	
8	8	89/4	89/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	78					2	
8	8	45/2	45/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	79				20	2	
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	80					2	
8	8	21	21	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	81					2	
8	8	45/2	45/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	82					2	
9	9	49/2	49/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	83				21		
9	9	25	25	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	84						
9	9	26	26	1.0	1/2	1/2	Chord	6/8	1	1	1/4		1/4	1	85						
9	9	24	24	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	86				22	2	
9	9	25	25	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	87					2	
9	9	51/2	51/2	0.0	3/8	3/8	Dynamic	6/8	2	1	0					pp					
9	9	51/2	51/2	0.0	3/8	3/8	Spanner	6/8	2	1	0										
9	9	51/2	51/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	88						
9	9	24	24	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	89						
9	9	51/2	51/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	90						
10	10	27	27	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	91						
10	10	111/4	111/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	92						
10	10	28	28	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	93						
10	10	113/4	113/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	94						
10	10	57/2	57/2	0.0	3/8	3/8	Spanner	6/8	1	1	0										2
