mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
34	33	261/2	261/2	0.07142857142857142	3/8	3/8	Chord	2/2	2	1	1/56	1/32	4/7	263					19			2	2
34	33	914/7	914/7	0.07142857142857142	11/28	11/28	Chord	2/2	2	1	1/56	1/32	4/7	264					19			2	2
34	33	1829/14	1829/14	0.07142857142857142	23/56	23/56	Chord	2/2	2	1	1/56	1/32	4/7	265					19			2	2
34	33	915/7	915/7	0.07142857142857142	3/7	3/7	Chord	2/2	2	1	1/56	1/32	4/7	266					19			2	2
34	33	1831/14	1831/14	0.07142857142857142	25/56	25/56	Chord	2/2	2	1	1/56	1/32	4/7	267					19			2	2
34	33	916/7	916/7	0.07142857142857142	13/28	13/28	Chord	2/2	2	1	1/56	1/32	4/7	268					19			2	2
34	33	1833/14	1833/14	0.07142857142857142	27/56	27/56	Chord	2/2	2	1	1/56	1/32	4/7	269								2	2
34	33	265/2	265/2	0.07142857142857142	7/8	7/8	Chord	2/2	2	1	1/56	1/32	4/7	270					20			2	2
34	33	928/7	928/7	0.07142857142857142	25/28	25/28	Chord	2/2	2	1	1/56	1/32	4/7	271					20			2	2
34	33	1857/14	1857/14	0.07142857142857142	51/56	51/56	Chord	2/2	2	1	1/56	1/32	4/7	272					20			2	2
34	33	929/7	929/7	0.07142857142857142	13/14	13/14	Chord	2/2	2	1	1/56	1/32	4/7	273					20			2	2
34	33	1859/14	1859/14	0.07142857142857142	53/56	53/56	Chord	2/2	2	1	1/56	1/32	4/7	274					20			2	2
34	33	930/7	930/7	0.07142857142857142	27/28	27/28	Chord	2/2	2	1	1/56	1/32	4/7	275					20			2	2
34	33	1861/14	1861/14	0.07142857142857142	55/56	55/56	Chord	2/2	2	1	1/56	1/32	4/7	276								2	2
34	33	129	129	0.0	0	0	Dynamic	2/2	2	2	0				pp							2	2
34	33	129	129	2.0	0	0	Chord	2/2	2	2	1/2	1/2	1	277								2	2
34	33	131	131	2.0	1/2	1/2	Chord	2/2	2	2	1/2	1/2	1	278								2	2
35	34	136	136	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12	1/8	2/3	279									
35	34	409/3	409/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12	1/8	2/3	280									
35	34	410/3	410/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12	1/8	2/3	281									
35	34	136	136	0.3333333333333333	3/4	3/4	Chord	2/2	1	2	1/12	1/8	2/3	282									
35	34	409/3	409/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	2	1/12	1/8	2/3	283									
35	34	410/3	410/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	2	1/12	1/8	2/3	284									
35	34	133	133	0.0	0	0	Spanner	2/2	2	1	0												
35	34	133	133	3.0	0	0	Chord	2/2	2	1	3/4	1/2	3/2	285									
36	35	137	137	0.0	0	0	Spanner	2/2	1	1	0										2		
36	35	137	137	1.5	0	0	Chord	2/2	1	1	3/8	1/4	3/2	286							2		
36	35	277/2	277/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	287							2		
36	35	139	139	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	288							2		
36	35	140	140	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	289							2		
36	35	137	137	1.5	0	0	Chord	2/2	1	2	3/8	1/4	3/2	290							2		
36	35	277/2	277/2	0.5	3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	291							2		
36	35	139	139	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	292							2		
36	35	140	140	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	293							2		
37	36	141	141	0.0	0	0	Dynamic	2/2	1	1	0				f								
37	36	141	141	0.0	0	0	Spanner	2/2	1	1	0												
37	36	141	141	4.0	0	0	Chord	2/2	1	1	1	1	1	294									
37	36	141	141	4.0	0	0	Chord	2/2	1	2	1	1	1	295									
38	37	145	145	0.0	0	0	Spanner	2/2	2	1	0											3	3
38	37	293/2	293/2	0.07142857142857142	3/8	3/8	Chord	2/2	2	1	1/56	1/32	4/7	296					21			3	3
38	37	1026/7	1026/7	0.07142857142857142	11/28	11/28	Chord	2/2	2	1	1/56	1/32	4/7	297					21			3	3
38	37	2053/14	2053/14	0.07142857142857142	23/56	23/56	Chord	2/2	2	1	1/56	1/32	4/7	298					21			3	3
38	37	1027/7	1027/7	0.07142857142857142	3/7	3/7	Chord	2/2	2	1	1/56	1/32	4/7	299					21			3	3
38	37	2055/14	2055/14	0.07142857142857142	25/56	25/56	Chord	2/2	2	1	1/56	1/32	4/7	300					21			3	3
38	37	1028/7	1028/7	0.07142857142857142	13/28	13/28	Chord	2/2	2	1	1/56	1/32	4/7	301					21			3	3
38	37	2057/14	2057/14	0.07142857142857142	27/56	27/56	Chord	2/2	2	1	1/56	1/32	4/7	302								3	3
38	37	297/2	297/2	0.07142857142857142	7/8	7/8	Chord	2/2	2	1	1/56	1/32	4/7	303					22			3	3
38	37	1040/7	1040/7	0.07142857142857142	25/28	25/28	Chord	2/2	2	1	1/56	1/32	4/7	304					22			3	3
38	37	2081/14	2081/14	0.07142857142857142	51/56	51/56	Chord	2/2	2	1	1/56	1/32	4/7	305					22			3	3
38	37	1041/7	1041/7	0.07142857142857142	13/14	13/14	Chord	2/2	2	1	1/56	1/32	4/7	306					22			3	3
38	37	2083/14	2083/14	0.07142857142857142	53/56	53/56	Chord	2/2	2	1	1/56	1/32	4/7	307					22			3	3
38	37	1042/7	1042/7	0.07142857142857142	27/28	27/28	Chord	2/2	2	1	1/56	1/32	4/7	308					22			3	3
38	37	2085/14	2085/14	0.07142857142857142	55/56	55/56	Chord	2/2	2	1	1/56	1/32	4/7	309								3	3
38	37	145	145	0.0	0	0	Dynamic	2/2	2	2	0				pp							3	3
38	37	145	145	2.0	0	0	Chord	2/2	2	2	1/2	1/2	1	310								3	3
38	37	147	147	2.0	1/2	1/2	Chord	2/2	2	2	1/2	1/2	1	311								3	3
39	38	152	152	0.0	3/4	3/4	Spanner	2/2	1	1	0										3		
39	38	152	152	0.3333333333333333	3/4	3/4	Chord	2/2	1	1	1/12	1/8	2/3	312							3		
39	38	457/3	457/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	1	1/12	1/8	2/3	313							3		
39	38	458/3	458/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	1	1/12	1/8	2/3	314							3		
39	38	152	152	0.3333333333333333	3/4	3/4	Chord	2/2	1	2	1/12	1/8	2/3	315							3		
39	38	457/3	457/3	0.3333333333333333	5/6	5/6	Chord	2/2	1	2	1/12	1/8	2/3	316							3		
39	38	458/3	458/3	0.3333333333333333	11/12	11/12	Chord	2/2	1	2	1/12	1/8	2/3	317							3		
39	38	149	149	0.0	0	0	Spanner	2/2	2	1	0												
39	38	149	149	3.0	0	0	Chord	2/2	2	1	3/4	1/2	3/2	318									
40	39	153	153	0.0	0	0	Spanner	2/2	1	1	0												
40	39	153	153	0.0	0	0	Spanner	2/2	1	1	0									1			
40	39	153	153	1.5	0	0	Chord	2/2	1	1	3/8	1/4	3/2	319						1			
40	39	309/2	309/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	320						1			
40	39	155	155	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	321						1			
40	39	156	156	0.0	3/4	3/4	Spanner	2/2	1	1	0												
40	39	156	156	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	322									
40	39	153	153	1.5	0	0	Chord	2/2	1	2	3/8	1/4	3/2	323									
40	39	309/2	309/2	0.5	3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	324									
40	39	155	155	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	325									
40	39	156	156	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	326									
41	40	157	157	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	327									
41	40	160	160	0.0	3/4	3/4	Dynamic	2/2	1	1	0				p								
41	40	160	160	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	328									
41	40	157	157	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	329									
42	41	161	161	0.0	0	0	Spanner	2/2	1	1	0										4		
42	41	161	161	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	330							4		
42	41	323/2	323/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	331							4		
42	41	162	162	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	332							4		
42	41	163	163	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	333							4		
42	41	164	164	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	334							4		
42	41	161	161	1.0	0	0	Chord	2/2	1	2	1/4	1/4	1	335							4		
42	41	162	162	1.0	1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	336							4		
42	41	163	163	2.0	1/2	1/2	Chord	2/2	1	2	1/2	1/2	1	337					23		4		
42	41	161	161	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	338									
42	41	163	163	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	339									
43	42	165	165	0.0	0	0	Spanner	2/2	1	1	0												
43	42	165	165	0.0	0	0	Spanner	2/2	1	1	0									2			
43	42	165	165	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	340						2			
43	42	166	166	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	341						2			
43	42	167	167	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	342						2			
43	42	168	168	0.0	3/4	3/4	Spanner	2/2	1	1	0												
43	42	168	168	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	343									
43	42	165	165	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	344									
43	42	167	167	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	345									
43	42	165	165	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	346									
43	42	166	166	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	347									
43	42	167	167	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	348									
44	43	169	169	0.0	0	0	Spanner	2/2	1	1	0										5		
44	43	169	169	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	349							5		
44	43	339/2	339/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	350							5		
44	43	170	170	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	351							5		
44	43	341/2	341/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	352							5		
44	43	171	171	0.0	1/2	1/2	Spanner	2/2	1	1	0												
44	43	171	171	0.0	1/2	1/2	Spanner	2/2	1	1	0									3			
44	43	171	171	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	353						3			
44	43	172	172	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	354						3			
44	43	345/2	345/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	355						3			
44	43	169	169	1.0	0	0	Chord	2/2	1	2	1/4	1/4	1	356						3			
44	43	170	170	1.0	1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	357						3			
44	43	171	171	2.0	1/2	1/2	Chord	2/2	1	2	1/2	1/2	1	358						3			
44	43	169	169	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	359									
44	43	171	171	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	360									
45	44	173	173	0.0	0	0	Spanner	2/2	1	1	0												
45	44	173	173	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	361									
45	44	174	174	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	362									
45	44	175	175	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	363									
45	44	176	176	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	364					24				
45	44	173	173	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	365									
45	44	175	175	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	366									
45	44	173	173	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	367									
45	44	174	174	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	368									
45	44	175	175	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	369									
45	44	176	176	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	370					25				
46	45	177	177	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	371									
46	45	178	178	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	372									
46	45	179	179	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	373									
46	45	180	180	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	374									
46	45	361/2	361/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	375									
46	45	177	177	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	376									
46	45	178	178	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	377									
46	45	179	179	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	378									
46	45	180	180	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	379									
46	45	361/2	361/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	380									
47	46	181	181	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	381									
47	46	183	183	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	382									
47	46	181	181	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	383									
47	46	183	183	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	384									
48	47	185	185	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	385		articStaccatoBelow			26				
48	47	186	186	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	386		articStaccatoBelow			26				
48	47	187	187	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	387		articStaccatoBelow			26				
48	47	188	188	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	388		articStaccatoBelow							
48	47	185	185	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	389		articStaccatoBelow			27				
48	47	186	186	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	390		articStaccatoBelow			27				
48	47	187	187	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	391		articStaccatoBelow			27				
48	47	188	188	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	392		articStaccatoBelow							
49	48	189	189	0.0	0	0	Spanner	2/2	1	1	0										6		
49	48	189	189	3.0	0	0	Chord	2/2	1	1	3/4	1/2	3/2	393							6		
49	48	192	192	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	394					28		6		
49	48	189	189	3.0	0	0	Chord	2/2	2	1	3/4	1/2	3/2	395									
49	48	192	192	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	396					29				
50	49	193	193	0.0	0	0	Spanner	2/2	1	1	0												
50	49	193	193	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	397									
50	49	194	194	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	398									
50	49	195	195	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	399									
50	49	196	196	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	400									
50	49	393/2	393/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	401									
50	49	193	193	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	402									
50	49	194	194	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	403									
50	49	195	195	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	404									
50	49	196	196	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	405									
50	49	393/2	393/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	406									
51	50	197	197	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	407									
51	50	199	199	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	408									
51	50	197	197	1.0	0	0	Chord	2/2	1	2	1/4	1/4	1	409									
51	50	198	198	1.0	1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	410									
51	50	199	199	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	411									
51	50	200	200	1.0	3/4	3/4	Chord	2/2	1	2	1/4	1/4	1	412									
51	50	197	197	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	413									
51	50	198	198	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	414									
51	50	199	199	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	415									
51	50	200	200	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	416									
52	51	201	201	0.0	0	0	SystemText	2/2	1	1	0							ritard.					
52	51	201	201	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	417									
52	51	202	202	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	418									
52	51	203	203	0.0	1/2	1/2	Spanner	2/2	1	1	0									4			
52	51	203	203	1.5	1/2	1/2	Chord	2/2	1	1	3/8	1/4	3/2	419					30	4			
52	51	409/2	409/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	420						4			
52	51	203	203	2.0	1/2	1/2	Chord	2/2	1	2	1/2	1/2	1	421						4			
52	51	201	201	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	422									
52	51	202	202	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	423									
52	51	203	203	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	424									
52	51	204	204	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	425									
52	51	203	203	2.0	1/2	1/2	Chord	2/2	2	2	1/2	1/2	1	426									
53	52	205	205	0.0	0	0	Spanner	2/2	1	1	0												
53	52	205	205	4.0	0	0	Chord	2/2	1	1	1	1	1	427									
53	52	205	205	4.0	0	0	Chord	2/2	1	2	1	1	1	428									
53	52	205	205	4.0	0	0	Chord	2/2	2	1	1	1	1	429									
53	52	205	205	4.0	0	0	Chord	2/2	2	2	1	1	1	430									
