mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>
5	4	13	13	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	24									
5	4	16	16	0.0	3/4	3/4	Dynamic	2/2	1	1	0				mf								
5	4	16	16	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	25					4				
5	4	13	13	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	26									
5	4	16	16	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	27					5				
6	5	17	17	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	28									
6	5	18	18	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	29									
6	5	19	19	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	30									
6	5	20	20	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	31									
6	5	41/2	41/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	32									
6	5	17	17	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	33									
6	5	18	18	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	34									
6	5	19	19	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	35									
6	5	20	20	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	36									
6	5	41/2	41/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	37									
7	6	21	21	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	38									
7	6	23	23	2.0	1/2	1/2	Chord	2/2	1	1	1/2	1/2	1	39									
7	6	21	21	1.0	0	0	Chord	2/2	1	2	1/4	1/4	1	40									
7	6	22	22	1.0	1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	41									
7	6	23	23	2.0	1/2	1/2	Chord	2/2	1	2	1/2	1/2	1	42									
7	6	21	21	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	43									
7	6	22	22	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	44									
7	6	23	23	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	45									
8	7	25	25	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	46									
8	7	26	26	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	47									
8	7	27	27	1.5	1/2	1/2	Chord	2/2	1	1	3/8	1/4	3/2	48									
8	7	57/2	57/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	49									
8	7	25	25	1.0	0	0	Chord	2/2	1	2	1/4	1/4	1	50									
8	7	26	26	1.0	1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	51									
8	7	27	27	2.0	1/2	1/2	Chord	2/2	1	2	1/2	1/2	1	52									
8	7	25	25	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	53									
8	7	26	26	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	54									
8	7	27	27	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	55					6				
8	7	28	28	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	56									
8	7	27	27	2.0	1/2	1/2	Chord	2/2	2	2	1/2	1/2	1	57									
9	8	29	29	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	58									
9	8	32	32	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	59									
9	8	29	29	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	60									
10	9	33	33	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	61									
10	9	67/2	67/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	62									
10	9	34	34	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	63									
10	9	35	35	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	64									
10	9	36	36	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	65									
10	9	33	33	1.0	0	0	Chord	2/2	1	2	1/4	1/4	1	66									
10	9	34	34	1.0	1/4	1/4	Chord	2/2	1	2	1/4	1/4	1	67									
10	9	35	35	2.0	1/2	1/2	Chord	2/2	1	2	1/2	1/2	1	68									
10	9	33	33	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	69									
10	9	35	35	2.0	1/2	1/2	Chord	2/2	2	1	1/2	1/2	1	70									
11	10	37	37	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	71									
11	10	38	38	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	72									
11	10	39	39	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	73									
11	10	40	40	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	74									
11	10	37	37	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	75									
11	10	39	39	1.0	1/2	1/2	Chord	2/2	1	2	1/4	1/4	1	76									
11	10	37	37	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	77									
11	10	38	38	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	78									
11	10	39	39	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	79									
12	11	41	41	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	80									
12	11	83/2	83/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	81									
12	11	42	42	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	82									
12	11	85/2	85/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	83									
12	11	43	43	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	84									
